model,horizon_months,period,n,mae_m,rmse_m,bias_m
persistence,1,overall,402,0.1355903814262066,0.17026761617530864,0.00531674958540633
seasonal_naive,1,overall,391,0.29082992327366264,0.38013933148051515,0.05978729752770653
persistence,3,overall,400,0.29440083333333833,0.3512611237364792,0.015802500000000066
seasonal_naive,3,overall,391,0.29082992327366264,0.38013933148051515,0.05978729752770653
persistence,6,overall,397,0.38651553316541276,0.47938713823230034,0.02906339210747311
seasonal_naive,6,overall,391,0.29082992327366264,0.38013933148051515,0.05978729752770653
persistence,1,recent_5y,61,0.12576229508196782,0.1595221133410884,0.009030054644808917
seasonal_naive,1,recent_5y,61,0.27932513661202857,0.3496408084017335,0.16840163934425917
persistence,3,recent_5y,61,0.27767486338797476,0.3324787309849663,0.03434699453551827
seasonal_naive,3,recent_5y,61,0.27932513661202857,0.3496408084017335,0.16840163934425917
persistence,6,recent_5y,61,0.3697978142076472,0.46609570409241635,0.08276229508196704
seasonal_naive,6,recent_5y,61,0.27932513661202857,0.3496408084017335,0.16840163934425917
