model,horizon_months,period,n,mae_m,rmse_m,bias_m
persistence,1,recent_5y,61,0.1257622950819678,0.1595221133410884,0.0090300546448089
sarimax,1,recent_5y,55,0.1012097234800442,0.1198873121560848,0.008441708227137
seasonal_naive,1,recent_5y,61,0.2793251366120285,0.3496408084017335,0.1684016393442591
xgboost,1,recent_5y,61,0.1521120645491755,0.1874399907263482,0.0935618969859981
xgboost_diff,1,recent_5y,61,0.10307381674174505,0.12898278525496443,-0.004271515770229882
persistence,3,recent_5y,61,0.2776748633879747,0.3324787309849663,0.0343469945355182
sarimax,3,recent_5y,55,0.1528714441260118,0.1892740239093688,0.0140597685552248
seasonal_naive,3,recent_5y,61,0.2793251366120285,0.3496408084017335,0.1684016393442591
xgboost,3,recent_5y,59,0.2720668972899043,0.3246052535792972,0.2108758662164549
xgboost_diff,3,recent_5y,59,0.16827244950301543,0.19952722931864292,0.0011796083603435286
persistence,6,recent_5y,61,0.3697978142076472,0.4660957040924163,0.082762295081967
sarimax,6,recent_5y,55,0.178813254721552,0.2156219669794923,0.0079371405199584
seasonal_naive,6,recent_5y,61,0.2793251366120285,0.3496408084017335,0.1684016393442591
xgboost,6,recent_5y,56,0.3271058930896576,0.4050543448996077,0.2760865711030504
xgboost_diff,6,recent_5y,56,0.21711890830100547,0.271562909963057,0.0002835512941804349
