date,river,raw_water_level
2000-01-01,Buzimba,1.746451612903226
2000-02-01,Buzimba,1.773448275862069
2000-03-01,Buzimba,1.821935483870968
2000-04-01,Buzimba,1.828333333333333
2000-05-01,Buzimba,1.6883870967741936
2000-06-01,Buzimba,1.6346666666666665
2000-07-01,Buzimba,1.5954838709677417
2000-08-01,Buzimba,1.5364516129032262
2000-09-01,Buzimba,1.479666666666667
2000-10-01,Buzimba,1.444516129032258
2000-11-01,Buzimba,1.6563333333333328
2000-12-01,Buzimba,1.912258064516129
2001-01-01,Buzimba,1.889677419354839
2001-02-01,Buzimba,1.8853571428571427
2001-03-01,Buzimba,1.8748387096774195
2001-04-01,Buzimba,1.8446666666666665
2001-05-01,Buzimba,1.7219354838709675
2001-06-01,Buzimba,1.5689999999999995
2001-07-01,Buzimba,1.5267741935483867
2001-08-01,Buzimba,1.472580645161291
2001-09-01,Buzimba,1.4170000000000005
2001-10-01,Buzimba,1.375161290322581
2001-11-01,Buzimba,1.2673333333333336
2001-12-01,Buzimba,1.3148387096774197
2002-01-01,Buzimba,1.323225806451613
2002-02-01,Buzimba,1.4539285714285717
2002-03-01,Buzimba,1.435483870967742
2002-04-01,Buzimba,1.8086666666666669
2002-05-01,Buzimba,1.5983870967741938
2002-06-01,Buzimba,1.3263333333333327
2002-07-01,Buzimba,1.2416129032258063
2002-08-01,Buzimba,1.1577419354838705
2002-09-01,Buzimba,1.0899999999999996
2002-10-01,Buzimba,1.1564516129032256
2002-11-01,Buzimba,1.324
2002-12-01,Buzimba,1.5687096774193543
2003-01-01,Buzimba,1.760322580645161
2003-02-01,Buzimba,1.6875
2003-03-01,Buzimba,1.835161290322581
2003-04-01,Buzimba,1.8003333333333331
2003-05-01,Buzimba,1.5293548387096776
2003-06-01,Buzimba,1.3299999999999996
2003-07-01,Buzimba,1.2780645161290318
2003-08-01,Buzimba,1.2325806451612902
2003-09-01,Buzimba,1.185333333333333
2003-10-01,Buzimba,1.134193548387097
2003-11-01,Buzimba,1.517666666666667
2003-12-01,Buzimba,1.7109677419354836
2004-01-01,Buzimba,1.6470967741935485
2004-02-01,Buzimba,1.663103448275862
2004-03-01,Buzimba,1.6587096774193544
2004-04-01,Buzimba,1.5673333333333337
2004-05-01,Buzimba,1.2751612903225806
2004-06-01,Buzimba,0.957
2004-07-01,Buzimba,0.7487096774193548
2004-08-01,Buzimba,0.6838709677419355
2004-09-01,Buzimba,0.7073333333333334
2004-10-01,Buzimba,1.18741935483871
2004-11-01,Buzimba,1.4953333333333336
2004-12-01,Buzimba,1.714516129032258
2005-01-01,Buzimba,1.7270967741935483
2005-02-01,Buzimba,1.7610714285714286
2005-03-01,Buzimba,1.5319354838709678
2005-04-01,Buzimba,1.2436666666666665
2005-05-01,Buzimba,0.6522580645161291
2005-06-01,Buzimba,0.6313333333333335
2005-07-01,Buzimba,0.5983870967741933
2005-08-01,Buzimba,0.5677419354838711
2005-09-01,Buzimba,0.5283333333333332
2005-10-01,Buzimba,0.4722580645161293
2005-11-01,Buzimba,0.4613333333333333
2005-12-01,Buzimba,0.5590322580645163
2006-01-01,Buzimba,0.5877419354838709
2006-02-01,Buzimba,0.5774999999999999
2006-03-01,Buzimba,0.7364516129032258
2006-04-01,Buzimba,0.7370000000000001
2006-05-01,Buzimba,0.6964516129032257
2006-06-01,Buzimba,0.4589999999999997
2006-07-01,Buzimba,0.4141935483870969
2006-08-01,Buzimba,0.369032258064516
2006-09-01,Buzimba,0.3503333333333333
2006-10-01,Buzimba,0.3061290322580644
2006-11-01,Buzimba,0.637
2006-12-01,Buzimba,0.9112903225806454
2007-01-01,Buzimba,0.8277419354838709
2007-02-01,Buzimba,0.857142857142857
2007-03-01,Buzimba,0.4641935483870968
2007-04-01,Buzimba,0.4516666666666666
2007-05-01,Buzimba,0.5861290322580646
