date,river,raw_water_level
2000-01-01,Nyengwe,
2000-02-01,Nyengwe,
2000-03-01,Nyengwe,
2000-04-01,Nyengwe,
2000-05-01,Nyengwe,
2000-06-01,Nyengwe,
2000-07-01,Nyengwe,
2000-08-01,Nyengwe,
2000-09-01,Nyengwe,
2000-10-01,Nyengwe,
2000-11-01,Nyengwe,
2000-12-01,Nyengwe,
2001-01-01,Nyengwe,
2001-02-01,Nyengwe,
2001-03-01,Nyengwe,
2001-04-01,Nyengwe,
2001-05-01,Nyengwe,
2001-06-01,Nyengwe,
2001-07-01,Nyengwe,
2001-08-01,Nyengwe,
2001-09-01,Nyengwe,
2001-10-01,Nyengwe,
2001-11-01,Nyengwe,
2001-12-01,Nyengwe,
2002-01-01,Nyengwe,
2002-02-01,Nyengwe,
2002-03-01,Nyengwe,
2002-04-01,Nyengwe,
2002-05-01,Nyengwe,
2002-06-01,Nyengwe,
2002-07-01,Nyengwe,
2002-08-01,Nyengwe,
2002-09-01,Nyengwe,
2002-10-01,Nyengwe,
2002-11-01,Nyengwe,
2002-12-01,Nyengwe,
2003-01-01,Nyengwe,
2003-02-01,Nyengwe,
2003-03-01,Nyengwe,
2003-04-01,Nyengwe,
2003-05-01,Nyengwe,
2003-06-01,Nyengwe,
2003-07-01,Nyengwe,
2003-08-01,Nyengwe,
2003-09-01,Nyengwe,
2003-10-01,Nyengwe,
2003-11-01,Nyengwe,
2003-12-01,Nyengwe,
2004-01-01,Nyengwe,
2004-02-01,Nyengwe,
2004-03-01,Nyengwe,
2004-04-01,Nyengwe,
2004-05-01,Nyengwe,
2004-06-01,Nyengwe,
2004-07-01,Nyengwe,
2004-08-01,Nyengwe,
2004-09-01,Nyengwe,
2004-10-01,Nyengwe,
2004-11-01,Nyengwe,
2004-12-01,Nyengwe,
2005-01-01,Nyengwe,
2005-02-01,Nyengwe,
2005-03-01,Nyengwe,
2005-04-01,Nyengwe,
2005-05-01,Nyengwe,
2005-06-01,Nyengwe,
2005-07-01,Nyengwe,
2005-08-01,Nyengwe,
2005-09-01,Nyengwe,
2005-10-01,Nyengwe,
2005-11-01,Nyengwe,
2005-12-01,Nyengwe,
2006-01-01,Nyengwe,
2006-02-01,Nyengwe,
2006-03-01,Nyengwe,
2006-04-01,Nyengwe,
2006-05-01,Nyengwe,
2006-06-01,Nyengwe,
2006-07-01,Nyengwe,
2006-08-01,Nyengwe,
2006-09-01,Nyengwe,
2006-10-01,Nyengwe,
2006-11-01,Nyengwe,
2006-12-01,Nyengwe,
2007-01-01,Nyengwe,
2007-02-01,Nyengwe,
2007-03-01,Nyengwe,
2007-04-01,Nyengwe,
2007-05-01,Nyengwe,
2007-06-01,Nyengwe,
2007-07-01,Nyengwe,
2007-08-01,Nyengwe,
2007-09-01,Nyengwe,
2007-10-01,Nyengwe,
2007-11-01,Nyengwe,
2007-12-01,Nyengwe,
2008-01-01,Nyengwe,
2008-02-01,Nyengwe,
2008-03-01,Nyengwe,
2008-04-01,Nyengwe,
2008-05-01,Nyengwe,
2008-06-01,Nyengwe,
2008-07-01,Nyengwe,
2008-08-01,Nyengwe,
2008-09-01,Nyengwe,
2008-10-01,Nyengwe,
2008-11-01,Nyengwe,
2008-12-01,Nyengwe,
2009-01-01,Nyengwe,
2009-02-01,Nyengwe,
2009-03-01,Nyengwe,
2009-04-01,Nyengwe,
2009-05-01,Nyengwe,
2009-06-01,Nyengwe,
2009-07-01,Nyengwe,
2009-08-01,Nyengwe,
2009-09-01,Nyengwe,
2009-10-01,Nyengwe,
2009-11-01,Nyengwe,
2009-12-01,Nyengwe,
2010-01-01,Nyengwe,0.9564516129032258
2010-02-01,Nyengwe,0.902857142857143
2010-03-01,Nyengwe,0.9461290322580646
2010-04-01,Nyengwe,0.8273333333333335
2010-05-01,Nyengwe,0.7477419354838708
2010-06-01,Nyengwe,0.6736666666666667
2010-07-01,Nyengwe,0.6251612903225806
2010-08-01,Nyengwe,0.5793548387096775
2010-09-01,Nyengwe,0.5586666666666669
2010-10-01,Nyengwe,0.546451612903226
2010-11-01,Nyengwe,0.6123333333333332
2010-12-01,Nyengwe,0.6206451612903227
2011-01-01,Nyengwe,
2011-02-01,Nyengwe,
2011-03-01,Nyengwe,0.7264516129032257
2011-04-01,Nyengwe,0.5703333333333335
2011-05-01,Nyengwe,0.2196774193548387
2011-06-01,Nyengwe,0.1653333333333333
2011-07-01,Nyengwe,0.134516129032258
2011-08-01,Nyengwe,0.1032258064516129
2011-09-01,Nyengwe,0.0926666666666666
2011-10-01,Nyengwe,0.1248387096774194
2011-11-01,Nyengwe,0.2543333333333333
2011-12-01,Nyengwe,0.6793548387096774
2012-01-01,Nyengwe,0.6370967741935483
2012-02-01,Nyengwe,0.5565517241379311
2012-03-01,Nyengwe,0.5358064516129032
2012-04-01,Nyengwe,0.6913333333333334
2012-05-01,Nyengwe,0.7087096774193548
2012-06-01,Nyengwe,0.558
2012-07-01,Nyengwe,0.4935483870967744
2012-08-01,Nyengwe,0.4903225806451614
2012-09-01,Nyengwe,0.485
2012-10-01,Nyengwe,0.5274193548387096
2012-11-01,Nyengwe,0.5760000000000001
2012-12-01,Nyengwe,0.629032258064516
2013-01-01,Nyengwe,0.7267741935483871
2013-02-01,Nyengwe,0.6892857142857143
2013-03-01,Nyengwe,0.7590322580645161
2013-04-01,Nyengwe,0.8143333333333334
2013-05-01,Nyengwe,0.6329032258064513
2013-06-01,Nyengwe,0.5223333333333333
2013-07-01,Nyengwe,0.466774193548387
2013-08-01,Nyengwe,0.4290322580645161
2013-09-01,Nyengwe,0.4223333333333334
2013-10-01,Nyengwe,0.4596774193548386
2013-11-01,Nyengwe,0.5526666666666669
2013-12-01,Nyengwe,0.812258064516129
2014-01-01,Nyengwe,0.7761290322580645
2014-02-01,Nyengwe,0.7585714285714287
2014-03-01,Nyengwe,0.7625806451612902
2014-04-01,Nyengwe,0.714
2014-05-01,Nyengwe,0.4341935483870969
2014-06-01,Nyengwe,0.3573333333333334
2014-07-01,Nyengwe,0.2809677419354839
2014-08-01,Nyengwe,0.2551612903225806
2014-09-01,Nyengwe,0.256
2014-10-01,Nyengwe,0.4080645161290323
2014-11-01,Nyengwe,0.4610000000000001
2014-12-01,Nyengwe,0.5896774193548387
2015-01-01,Nyengwe,0.5929032258064516
2015-02-01,Nyengwe,0.6417857142857143
2015-03-01,Nyengwe,0.8293548387096775
2015-04-01,Nyengwe,1.1226666666666667
2015-05-01,Nyengwe,1.104516129032258
2015-06-01,Nyengwe,0.985
2015-07-01,Nyengwe,0.9203225806451611
2015-08-01,Nyengwe,0.8790322580645165
2015-09-01,Nyengwe,0.8369999999999999
2015-10-01,Nyengwe,0.8883870967741937
2015-11-01,Nyengwe,0.984
2015-12-01,Nyengwe,1.0777419354838709
2016-01-01,Nyengwe,1.177741935483871
2016-02-01,Nyengwe,1.19
2016-03-01,Nyengwe,1.1483870967741936
2016-04-01,Nyengwe,1.2239999999999998
2016-05-01,Nyengwe,1.184838709677419
2016-06-01,Nyengwe,1.1529999999999996
2016-07-01,Nyengwe,1.091290322580645
2016-08-01,Nyengwe,1.0403225806451617
2016-09-01,Nyengwe,1.020333333333333
2016-10-01,Nyengwe,1.0164516129032255
2016-11-01,Nyengwe,1.0503333333333331
2016-12-01,Nyengwe,1.089032258064516
2017-01-01,Nyengwe,1.226451612903226
2017-02-01,Nyengwe,1.365
2017-03-01,Nyengwe,1.7322580645161292
2017-04-01,Nyengwe,2.002666666666667
2017-05-01,Nyengwe,2.0006451612903224
2017-06-01,Nyengwe,1.934666666666667
2017-07-01,Nyengwe,1.8525806451612887
2017-08-01,Nyengwe,1.799032258064516
2017-09-01,Nyengwe,1.7693333333333336
2017-10-01,Nyengwe,1.800967741935484
2017-11-01,Nyengwe,0.8613333333333334
2017-12-01,Nyengwe,0.9722580645161292
2018-01-01,Nyengwe,0.9819354838709676
2018-02-01,Nyengwe,1.0714285714285714
2018-03-01,Nyengwe,1.1054838709677417
2018-04-01,Nyengwe,1.2659999999999998
2018-05-01,Nyengwe,1.1938709677419357
2018-06-01,Nyengwe,1.0653333333333337
2018-07-01,Nyengwe,0.9967741935483866
2018-08-01,Nyengwe,0.9541935483870968
2018-09-01,Nyengwe,0.9036666666666664
2018-10-01,Nyengwe,0.9158064516129032
2018-11-01,Nyengwe,1.0219999999999996
2018-12-01,Nyengwe,1.0812903225806452
2019-01-01,Nyengwe,1.123225806451613
2019-02-01,Nyengwe,1.1146428571428573
2019-03-01,Nyengwe,1.1100000000000003
2019-04-01,Nyengwe,1.136666666666667
2019-05-01,Nyengwe,0.9725806451612904
2019-06-01,Nyengwe,0.6913333333333334
2019-07-01,Nyengwe,0.6222580645161288
2019-08-01,Nyengwe,0.5964516129032257
2019-09-01,Nyengwe,0.5693333333333332
2019-10-01,Nyengwe,0.6661290322580647
2019-11-01,Nyengwe,0.7726666666666667
2019-12-01,Nyengwe,1.0587096774193552
2020-01-01,Nyengwe,1.085483870967742
2020-02-01,Nyengwe,1.2531034482758625
2020-03-01,Nyengwe,1.2935483870967743
2020-04-01,Nyengwe,1.3303333333333334
2020-05-01,Nyengwe,1.3725806451612903
2020-06-01,Nyengwe,1.2623333333333333
2020-07-01,Nyengwe,1.130645161290323
2020-08-01,Nyengwe,1.0687096774193543
2020-09-01,Nyengwe,1.0373333333333334
2020-10-01,Nyengwe,1.078709677419355
2020-11-01,Nyengwe,0.9453846153846156
2020-12-01,Nyengwe,0.6796774193548388
2021-01-01,Nyengwe,0.6696774193548387
2021-02-01,Nyengwe,0.6239285714285713
2021-03-01,Nyengwe,0.6693548387096776
2021-04-01,Nyengwe,0.6990476190476189
2021-05-01,Nyengwe,
2021-06-01,Nyengwe,
2021-07-01,Nyengwe,
2021-08-01,Nyengwe,
2021-09-01,Nyengwe,
2021-10-01,Nyengwe,
2021-11-01,Nyengwe,
2021-12-01,Nyengwe,
2022-01-01,Nyengwe,
2022-02-01,Nyengwe,
2022-03-01,Nyengwe,
2022-04-01,Nyengwe,
2022-05-01,Nyengwe,
2022-06-01,Nyengwe,
2022-07-01,Nyengwe,
2022-08-01,Nyengwe,
2022-09-01,Nyengwe,
2022-10-01,Nyengwe,0.5964516129032256
2022-11-01,Nyengwe,0.5960000000000001
2022-12-01,Nyengwe,0.5974193548387097
