river,year,month,water_level,runoff,temp_max_observed,temp_min_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean,temp_max_imputed,temp_min_imputed,precip_bias_factor,precip_imputed,ndvi,water_level_imputed_v2,wl_imputed_v2,water_level_m
Nyamagana,2000,1,,,33.50485000000003,15.512020000000009,30.170507774082665,MPARAMBO,MPARAMBO,grid_m3.00_29.25,23.36130986559141,15.512020000000009,33.50485000000003,13.79632955728,0.4312333652324731,0.2965176901629032,12.748414166666691,101028.42993951614,True,True,2.186850324850525,True,,,False,771.309
Jiji,2000,1,0.704516129032258,,21.4483870967742,9.948387096774196,125.60000000000002,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.75,19.1179850403226,13.81442000000004,26.968770000000006,222.82671966332,-0.1655578919032795,0.2202421197887903,15.303634919354865,101206.45866935483,False,False,0.7469623692808592,False,,0.704516129032258,False,771.309
Kaburantwa,2000,1,,0.71,33.50485000000003,15.512020000000009,30.459723372868403,MPARAMBO,MPARAMBO,grid_m3.00_29.25,23.36130986559141,15.512020000000009,33.50485000000003,13.79632955728,0.4312333652324731,0.2965176901629032,12.748414166666691,101028.42993951614,True,True,2.207813552612297,True,,,False,771.309
Mulembwe,2000,1,1.239354838709677,20.05,21.4483870967742,9.948387096774196,125.60000000000002,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.917637526881776,17.59014000000002,26.177760000000035,470.14832389116,-0.2265037933807258,0.7538127690944221,17.810260981182807,101096.17909946236,False,False,0.3376177859350189,False,,1.239354838709677,False,771.309
Nyengwe,2000,1,,12.99,28.36774193548387,18.76129032258064,203.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.00358565860216,20.24276000000004,26.17013000000003,300.4238600667,0.0174727585537096,0.6784927624068549,18.92188009408602,101021.74663978496,False,False,0.3658537084356579,False,,,False,771.309
Mutimbuzi,2000,1,,13.16,30.041935483870965,19.045161290322586,103.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.76391608870972,17.111630000000048,34.89156000000003,9.49335093558,0.4264988741169355,0.4249500968788978,13.597944825268826,101008.31014784946,False,False,1.5476478434872514,False,,,False,771.309
Rusizi,2000,1,,,30.041935483870965,19.045161290322586,103.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.76391608870972,17.111630000000048,34.89156000000003,9.49335093558,0.4264988741169355,0.4249500968788978,13.597944825268826,101008.31014784946,False,False,1.5043629271954442,False,,,False,771.309
Buzimba,2000,1,1.746451612903226,20.05,28.36774193548387,18.76129032258064,203.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.917637526881776,17.59014000000002,26.177760000000035,470.14832389116,-0.2265037933807258,0.7538127690944221,17.810260981182807,101096.17909946236,False,False,0.2550133648657899,False,,1.746451612903226,False,771.309
Nyakagunda,2000,1,,,29.42867000000001,13.153099999999997,103.71048931288249,MPARAMBO,MPARAMBO,grid_m2.75_29.00,20.730956908602195,13.153099999999997,29.42867000000001,51.95713049372,-0.5158406225748656,-0.067364723484051,11.766223413978537,101122.47043010753,True,True,1.9960780806672505,True,,,False,771.309
Nyengwe,2000,2,,10.18,28.83103448275861,18.42068965517241,97.2,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.33303982758622,20.6832,26.24377000000004,196.43831216894,0.065078668326954,0.8192128145093391,18.86400652298852,101140.77818965518,False,False,0.3658537084356579,False,0.740547086811367,0.8758968376596599,True,771.2643333333334
Jiji,2000,2,0.7762068965517241,,20.88275862068966,9.455172413793104,223.2,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.75,19.10164152298853,14.616570000000024,27.285300000000007,203.8996223148,0.0350662106686781,0.4742056308804598,15.287688520114957,101332.76722701149,False,False,0.7469623692808592,False,0.74937148616656,0.7762068965517241,False,771.2643333333334
Buzimba,2000,2,1.773448275862069,18.99,28.83103448275861,18.42068965517241,97.2,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,21.04037642241383,17.922750000000008,26.277500000000032,384.27567493118,-0.1805436369377873,0.9416900286587644,17.710458994252917,101220.58047413794,False,False,0.2550133648657899,False,0.712440205920286,1.773448275862069,False,771.2643333333334
Mutimbuzi,2000,2,,20.24,29.960714285714285,18.72758620689656,37.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,25.48174926724141,17.25010000000003,34.848100000000045,4.69279295598,0.1239151555425287,0.4960744572390805,13.47730755747125,101119.19338362067,False,False,1.5476478434872514,False,0.640052672696848,1.5225265403772923,True,771.2643333333334
Kaburantwa,2000,2,,0.26,34.297330000000045,17.247950000000003,8.402137656103708,MPARAMBO,MPARAMBO,grid_m3.00_29.25,24.42758885057475,17.247950000000003,34.297330000000045,3.80563732212,0.3850179427641236,0.1838382409646551,11.230918965517276,101138.3545474138,True,True,2.207813552612297,True,0.647655835279237,1.2056650127549924,True,771.2643333333334
Mulembwe,2000,2,1.7193103448275862,18.99,20.88275862068966,9.455172413793104,223.2,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,21.04037642241383,17.922750000000008,26.277500000000032,384.27567493118,-0.1805436369377873,0.9416900286587644,17.710458994252917,101220.58047413794,False,False,0.3376177859350189,False,0.686114520480103,1.7193103448275862,False,771.2643333333334
Nyakagunda,2000,2,,,29.707480000000032,13.58584000000002,77.64009634642858,MPARAMBO,MPARAMBO,grid_m2.75_29.00,20.741868649425328,13.58584000000002,29.707480000000032,38.8963222924,-0.3143846118300287,-0.323852188040546,11.40604071839084,101252.978045977,True,True,1.9960780806672505,True,0.605434785493563,0.4847218329890352,True,771.2643333333334
Rusizi,2000,2,,,29.960714285714285,18.72758620689656,37.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,25.48174926724141,17.25010000000003,34.848100000000045,4.69279295598,0.1239151555425287,0.4960744572390805,13.47730755747125,101119.19338362067,False,False,1.5043629271954442,False,0.585228126677402,2.39535,True,771.2643333333334
Nyamagana,2000,2,,,34.297330000000045,17.247950000000003,8.322359214141404,MPARAMBO,MPARAMBO,grid_m3.00_29.25,24.42758885057475,17.247950000000003,34.297330000000045,3.80563732212,0.3850179427641236,0.1838382409646551,11.230918965517276,101138.3545474138,True,True,2.186850324850525,True,0.574746333223111,0.5650294162826416,True,771.2643333333334
Jiji,2000,3,0.9074193548387096,,20.367741935483867,9.896774193548383,272.1,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.75,18.765078561827977,14.769370000000038,25.146500000000003,284.2473976635,-0.4061975167896505,0.3591598787701613,15.87938838709681,101281.72328629032,False,False,0.7469623692808592,False,0.6101217545798425,0.9074193548387096,False,771.45
Kaburantwa,2000,3,,0.26,31.91885000000002,16.54934000000003,54.6317924274048,MPARAMBO,MPARAMBO,grid_m3.00_29.25,23.258001572580667,16.54934000000003,31.91885000000002,24.74474910382,0.1413337747309946,0.5629792364220431,13.20474104838712,101095.10251344086,True,True,2.207813552612297,True,0.7320913879380491,1.4443506086027362,True,771.45
Nyakagunda,2000,3,,,28.22775000000001,13.67172000000005,88.59869398416033,MPARAMBO,MPARAMBO,grid_m2.75_29.00,20.48602604838709,13.67172000000005,28.22775000000001,44.38638690654,-0.8423928090951612,0.2873234709127688,11.711330376344108,101176.0151545699,True,True,1.9960780806672505,True,0.6958549290033925,0.4786899116743467,True,771.45
Buzimba,2000,3,1.821935483870968,14.97,28.064516129032263,18.08387096774193,166.4,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.74183552419356,17.761680000000013,25.59872000000001,665.39406789794,-0.2268696657113306,0.745039888546102,17.817699354838737,101159.89298387096,False,False,0.2550133648657899,False,0.3927622868417115,1.821935483870968,False,771.45
Nyengwe,2000,3,,12.16,28.064516129032263,18.08387096774193,166.4,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.70524584677424,20.09414000000004,25.920980000000043,578.67741605514,-0.0597764084072728,0.6332431710670295,19.02856580645164,101089.34428091397,False,False,0.3658537084356579,False,0.5656171314084986,0.6581473924653736,True,771.45
Mulembwe,2000,3,1.838387096774194,14.97,20.367741935483867,9.896774193548383,272.1,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.74183552419356,17.761680000000013,25.59872000000001,665.39406789794,-0.2268696657113306,0.745039888546102,17.817699354838737,101159.89298387096,False,False,0.3376177859350189,False,0.5612781590581175,1.838387096774194,False,771.45
Nyamagana,2000,3,,,31.91885000000002,16.54934000000003,54.113062616033496,MPARAMBO,MPARAMBO,grid_m3.00_29.25,23.258001572580667,16.54934000000003,31.91885000000002,24.74474910382,0.1413337747309946,0.5629792364220431,13.20474104838712,101095.10251344086,True,True,2.186850324850525,True,0.631244051137915,0.8745272944457918,True,771.45
Rusizi,2000,3,,,29.09354838709677,18.958064516129035,149.39999999999998,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.373608077956987,17.49203,32.68190000000004,26.40485765856,0.3656281291555107,0.6125502834099462,14.146176370967735,101074.02739919355,False,False,1.5043629271954442,False,0.5901196697313785,2.2393500000000013,True,771.45
Mutimbuzi,2000,3,,14.4,29.09354838709677,18.958064516129035,149.39999999999998,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.373608077956987,17.49203,32.68190000000004,26.40485765856,0.3656281291555107,0.6125502834099462,14.146176370967735,101074.02739919355,False,False,1.5476478434872514,False,0.670324696311092,1.238624990619556,True,771.45
Kaburantwa,2000,4,,0.65,30.470540000000028,16.01504,53.07422292205212,MPARAMBO,MPARAMBO,grid_m3.00_29.25,22.67851651388895,16.01504,30.470540000000028,24.03926856018,0.1543158857254166,0.7489469950475,13.476783777777824,101175.73909722223,True,True,2.207813552612297,True,0.7288203482946805,1.5958393086308371,True,771.638
Mulembwe,2000,4,1.4349999999999998,13.43,20.74,10.159999999999998,156.5,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.825627124999983,18.028279999999995,24.97164000000004,387.99333602922,-0.1261949111370833,0.627218478675,17.82516973611115,101225.76511805555,False,False,0.3376177859350189,False,0.384425005954085,1.4349999999999998,False,771.638
Jiji,2000,4,0.8393333333333335,,20.74,10.159999999999998,156.5,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.75,18.88682208333336,14.99642,24.21664000000004,148.34475512510002,-1.0099785473958334,0.3999723852670556,15.254175805555576,101345.96545833332,False,False,0.7469623692808592,False,0.6723550666556005,0.8393333333333335,False,771.638
Buzimba,2000,4,1.828333333333333,13.43,28.90333333333334,18.43,39.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.825627124999983,18.028279999999995,24.97164000000004,387.99333602922,-0.1261949111370833,0.627218478675,17.82516973611115,101225.76511805555,False,False,0.2550133648657899,False,0.36954013091664,1.828333333333333,False,771.638
Nyakagunda,2000,4,,,28.093530000000044,14.163540000000012,55.794762447627846,MPARAMBO,MPARAMBO,grid_m2.75_29.00,20.510099763888945,14.163540000000012,28.093530000000044,27.95219434952,-1.391022384060139,0.89074386959775,11.26026881944449,101244.48179166668,True,True,1.9960780806672505,True,0.6390663263758549,0.4941324769585251,True,771.638
Nyamagana,2000,4,,,30.470540000000028,16.01504,52.57028225999864,MPARAMBO,MPARAMBO,grid_m3.00_29.25,22.67851651388895,16.01504,30.470540000000028,24.03926856018,0.1543158857254166,0.7489469950475,13.476783777777824,101175.73909722223,True,True,2.186850324850525,True,0.595720577368201,0.88208845536781,True,771.638
Rusizi,2000,4,,,30.03571428571428,19.357142857142858,42.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.10686313888891,17.35990000000004,31.61776000000004,13.62085349494,1.0051269731541668,0.7599957147843055,13.488407180555612,101151.13752083332,False,False,1.5043629271954442,False,0.5537147900697179,2.1989999999999994,True,771.638
Nyengwe,2000,4,,10.48,28.90333333333334,18.43,39.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.692331458333346,20.34072000000004,24.968530000000044,337.68439267002,0.3899943241859722,0.3615622846318055,19.13416956944445,101156.86061805557,False,False,0.3658537084356579,False,0.6374181733245445,0.7591764233346048,True,771.638
Mutimbuzi,2000,4,,14.23,30.03571428571428,19.357142857142858,42.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.10686313888891,17.35990000000004,31.61776000000004,13.62085349494,1.0051269731541668,0.7599957147843055,13.488407180555612,101151.13752083332,False,False,1.5476478434872514,False,0.6679713719548465,1.6760215285600104,True,771.638
