river,reach_status,reach_note,diagnostic_chosen_hyriv_id,alternative_hyriv_id,nearest_hyriv_id,chosen_snap_distance_m,alternative_snap_distance_m,nearest_snap_distance_m,chosen_upland_skm,alternative_upland_skm,nearest_upland_skm,status_flag,selected_hyriv_id
Buzimba,clean,Accepted from the HydroRIVERS diagnostic review.,11103123,11103221,11103123,65.33073589267926,3451.4495471608134,65.33073589267926,143.0,78.8,143.0,clean,11103123.0
Jiji,unresolved,"Keep basin geometry, but do not lock a final reach ID until a better local intersecting candidate is found.",11101189,11099874,11099874,4950.856509604133,1521.4770646808763,1521.4770646808763,114.4,202.4,202.4,snap_over_1km | reach_area_gap_over_10pct | nearest_reach_differs_from_preliminary_choice,
Kaburantwa,clean,Accepted from the HydroRIVERS diagnostic review.,11080327,11079514,11080327,890.270548641101,1251.946987715436,890.270548641101,536.2,503.2,536.2,clean,11080327.0
Mpanda,acceptable,Chosen reach accepted after strict spatial review.,11084107,11082924,11082924,718.9552271955055,269.8185184122014,269.8185184122014,276.3,27.4,27.4,nearest_reach_differs_from_preliminary_choice,11084107.0
Mulembwe,provisional,"Reach is acceptable for reference, but the earlier HydroBASINS topology issue means it is still provisional.",11101889,11101943,11101889,457.3179540681074,1840.5680251785463,457.3179540681074,939.3,1066.5,939.3,reach_area_gap_over_10pct,11101889.0
Mutimbuzi,clean,Accepted from the HydroRIVERS diagnostic review.,11088458,11087117,11088458,138.97701913474478,3527.9775302511134,138.97701913474478,292.3,219.7,292.3,clean,11088458.0
Nyakagunda,acceptable,Chosen reach accepted after strict spatial review.,11075436,11073696,11073696,525.6612647374394,139.0238851560614,139.0238851560614,149.2,12.9,12.9,nearest_reach_differs_from_preliminary_choice,11075436.0
Nyamagana,clean,Accepted from the HydroRIVERS diagnostic review.,11078020,11076837,11078020,588.1836852702755,1619.0366075293828,588.1836852702755,461.0,232.9,461.0,clean,11078020.0
Nyengwe,provisional,"Reach is acceptable for reference, but the earlier HydroBASINS topology issue means it is still provisional.",11105306,11105305,11105306,46.28900033342021,2378.662887425606,46.28900033342021,269.6,41.1,269.6,reach_area_gap_over_10pct,11105306.0
Rusizi,clean,Accepted from the HydroRIVERS diagnostic review.,11088457,11087503,11088457,324.25481907083355,2354.7970720329977,324.25481907083355,13482.2,12775.8,13482.2,clean,11088457.0
