river,year,month,ndvi
Nyengwe,2000,1,
Nyengwe,2000,2,
Nyengwe,2000,3,0.1457
Nyengwe,2000,4,0.4
Nyengwe,2000,5,
Nyengwe,2000,6,-0.0257
Nyengwe,2000,7,0.1875
Nyengwe,2000,8,-0.0991
Nyengwe,2000,9,0.0624
Nyengwe,2000,10,-0.0373
Nyengwe,2000,11,
Nyengwe,2000,12,0.0181
Nyengwe,2001,1,0.05955
Nyengwe,2001,2,
Nyengwe,2001,3,0.6333
Nyengwe,2001,4,-0.00095
Nyengwe,2001,5,-0.0909
Nyengwe,2001,6,0.0055
Nyengwe,2001,7,0.0017
Nyengwe,2001,8,
Nyengwe,2001,9,0.0398
Nyengwe,2001,10,-0.063
Nyengwe,2001,11,-0.0362
Nyengwe,2001,12,
Nyengwe,2002,1,-0.0193
Nyengwe,2002,2,0.3703
Nyengwe,2002,3,0.03525
Nyengwe,2002,4,-0.07305
Nyengwe,2002,5,-0.2
Nyengwe,2002,6,
Nyengwe,2002,7,0.3584
Nyengwe,2002,8,-0.1538
Nyengwe,2002,9,
Nyengwe,2002,10,
Nyengwe,2002,11,0.7165
Nyengwe,2002,12,0.20715
Nyengwe,2003,1,-0.0221
Nyengwe,2003,2,0.2242
Nyengwe,2003,3,0.0437
Nyengwe,2003,4,0.00405
Nyengwe,2003,5,-0.113
Nyengwe,2003,6,0.0012
Nyengwe,2003,7,-0.04255
Nyengwe,2003,8,-0.0241
Nyengwe,2003,9,0.0416
Nyengwe,2003,10,0.1242
Nyengwe,2003,11,-0.0155
Nyengwe,2003,12,0.0106
Nyengwe,2004,1,0.0154
Nyengwe,2004,2,0.1433
Nyengwe,2004,3,0.00085
Nyengwe,2004,4,0.71665
Nyengwe,2004,5,0.3658
Nyengwe,2004,6,
Nyengwe,2004,7,-0.1818
Nyengwe,2004,8,0.07275
Nyengwe,2004,9,-0.0527
Nyengwe,2004,10,-0.02015
Nyengwe,2004,11,-0.0529
Nyengwe,2004,12,0.5692
Nyengwe,2005,1,0.0025
Nyengwe,2005,2,0.01845
Nyengwe,2005,3,
Nyengwe,2005,4,0.0328
Nyengwe,2005,5,-0.0346
Nyengwe,2005,6,-0.0418
Nyengwe,2005,7,
Nyengwe,2005,8,-0.0142
Nyengwe,2005,9,-0.0401
Nyengwe,2005,10,0.0128
Nyengwe,2005,11,-0.0303
Nyengwe,2005,12,0.1535
Nyengwe,2006,1,0.0
Nyengwe,2006,2,-0.0563
Nyengwe,2006,3,0.055
Nyengwe,2006,4,0.1784
Nyengwe,2006,5,-0.0155
Nyengwe,2006,6,
Nyengwe,2006,7,-0.1256
Nyengwe,2006,8,-0.0776
Nyengwe,2006,9,-0.0354
Nyengwe,2006,10,0.0063
Nyengwe,2006,11,0.0138
Nyengwe,2006,12,0.0135
Nyengwe,2007,1,0.0184
Nyengwe,2007,2,0.198
Nyengwe,2007,3,-0.02115
Nyengwe,2007,4,0.0758
Nyengwe,2007,5,0.0354
Nyengwe,2007,6,0.019
Nyengwe,2007,7,-0.0702
Nyengwe,2007,8,0.32345
Nyengwe,2007,9,0.23315
Nyengwe,2007,10,0.0327
Nyengwe,2007,11,0.0819
Nyengwe,2007,12,-0.05855
Nyengwe,2008,1,0.0549
Nyengwe,2008,2,0.0981
Nyengwe,2008,3,0.0115
Nyengwe,2008,4,0.2279
Nyengwe,2008,5,
Nyengwe,2008,6,-0.0361
Nyengwe,2008,7,0.0107
Nyengwe,2008,8,0.0553
Nyengwe,2008,9,0.0249
Nyengwe,2008,10,-0.0075
Nyengwe,2008,11,
Nyengwe,2008,12,0.0666
Nyengwe,2009,1,0.1397
Nyengwe,2009,2,0.01625
Nyengwe,2009,3,0.5124
Nyengwe,2009,4,0.2
Nyengwe,2009,5,0.0135
Nyengwe,2009,6,-0.0659
Nyengwe,2009,7,0.6842
Nyengwe,2009,8,0.0234
Nyengwe,2009,9,0.0174
Nyengwe,2009,10,0.047
Nyengwe,2009,11,0.04245
Nyengwe,2009,12,0.1397
Nyengwe,2010,1,-0.1666
Nyengwe,2010,2,0.0029
Nyengwe,2010,3,0.0813
Nyengwe,2010,4,0.12205
Nyengwe,2010,5,0.0081
Nyengwe,2010,6,
Nyengwe,2010,7,
Nyengwe,2010,8,-0.0059
Nyengwe,2010,9,0.0577
Nyengwe,2010,10,-0.0605
Nyengwe,2010,11,0.1498
Nyengwe,2010,12,0.1283
Nyengwe,2011,1,0.05135
Nyengwe,2011,2,0.3333
Nyengwe,2011,3,0.0336
Nyengwe,2011,4,0.0513
Nyengwe,2011,5,
Nyengwe,2011,6,-0.0349
Nyengwe,2011,7,-0.1428
Nyengwe,2011,8,0.08915
Nyengwe,2011,9,0.00535
Nyengwe,2011,10,0.0
Nyengwe,2011,11,-0.1274
Nyengwe,2011,12,0.0025
Nyengwe,2012,1,0.0392
Nyengwe,2012,2,-0.0156
Nyengwe,2012,3,0.1276
Nyengwe,2012,4,0.92
Nyengwe,2012,5,-0.0299
Nyengwe,2012,6,-0.0854
Nyengwe,2012,7,-0.03535
Nyengwe,2012,8,
Nyengwe,2012,9,-0.0813
Nyengwe,2012,10,0.0236
