river,year,month,ndvi
Rusizi,2000,1,
Rusizi,2000,2,0.6521
Rusizi,2000,3,0.73865
Rusizi,2000,4,0.69165
Rusizi,2000,5,0.57695
Rusizi,2000,6,0.42425
Rusizi,2000,7,0.43435
Rusizi,2000,8,0.36725
Rusizi,2000,9,0.35985
Rusizi,2000,10,0.55685
Rusizi,2000,11,0.8056
Rusizi,2000,12,0.8246
Rusizi,2001,1,0.78315
Rusizi,2001,2,0.81875
Rusizi,2001,3,0.723
Rusizi,2001,4,0.7971
Rusizi,2001,5,0.60815
Rusizi,2001,6,0.63795
Rusizi,2001,7,0.5203
Rusizi,2001,8,0.50575
Rusizi,2001,9,0.61185
Rusizi,2001,10,0.6987
Rusizi,2001,11,0.73495
Rusizi,2001,12,0.76725
Rusizi,2002,1,0.75725
Rusizi,2002,2,0.7773
Rusizi,2002,3,0.7681
Rusizi,2002,4,0.7734
Rusizi,2002,5,0.76705
Rusizi,2002,6,0.64945
Rusizi,2002,7,0.4627
Rusizi,2002,8,0.461
Rusizi,2002,9,0.4836
Rusizi,2002,10,0.5845
Rusizi,2002,11,0.70965
Rusizi,2002,12,0.75885
Rusizi,2003,1,0.77975
Rusizi,2003,2,0.7228
Rusizi,2003,3,0.7345
Rusizi,2003,4,0.66745
Rusizi,2003,5,0.65435
Rusizi,2003,6,0.58695
Rusizi,2003,7,0.51175
Rusizi,2003,8,0.44045
Rusizi,2003,9,0.46905
Rusizi,2003,10,0.4375
Rusizi,2003,11,0.6486
Rusizi,2003,12,0.6762
Rusizi,2004,1,0.67955
Rusizi,2004,2,0.71805
Rusizi,2004,3,0.7521
Rusizi,2004,4,0.7712
Rusizi,2004,5,0.70785
Rusizi,2004,6,0.49105
Rusizi,2004,7,0.45005
Rusizi,2004,8,0.4489
Rusizi,2004,9,0.52905
Rusizi,2004,10,0.58015
Rusizi,2004,11,0.615
Rusizi,2004,12,0.6816
Rusizi,2005,1,0.7992
Rusizi,2005,2,0.75145
Rusizi,2005,3,0.74895
Rusizi,2005,4,0.78605
Rusizi,2005,5,0.74355
Rusizi,2005,6,0.62645
Rusizi,2005,7,0.47505
Rusizi,2005,8,0.4846
Rusizi,2005,9,0.4082
Rusizi,2005,10,0.4051
Rusizi,2005,11,0.5065
Rusizi,2005,12,0.51655
Rusizi,2006,1,0.63045
Rusizi,2006,2,0.7503
Rusizi,2006,3,0.77435
Rusizi,2006,4,0.75015
Rusizi,2006,5,0.73185
Rusizi,2006,6,0.65195
Rusizi,2006,7,0.5775
Rusizi,2006,8,0.45595
Rusizi,2006,9,0.49765
Rusizi,2006,10,0.4727
Rusizi,2006,11,0.74005
Rusizi,2006,12,0.7309
Rusizi,2007,1,0.7883
Rusizi,2007,2,0.81195
Rusizi,2007,3,0.7585
Rusizi,2007,4,0.71475
Rusizi,2007,5,0.7469
Rusizi,2007,6,0.7088
Rusizi,2007,7,0.59905
Rusizi,2007,8,0.50195
Rusizi,2007,9,0.416
Rusizi,2007,10,0.6128
Rusizi,2007,11,0.6567
Rusizi,2007,12,0.6741
Rusizi,2008,1,0.713
Rusizi,2008,2,0.72815
Rusizi,2008,3,0.72975
Rusizi,2008,4,0.71
Rusizi,2008,5,0.5982
Rusizi,2008,6,0.6235
Rusizi,2008,7,0.5339
Rusizi,2008,8,0.384
Rusizi,2008,9,0.4904
Rusizi,2008,10,0.55945
Rusizi,2008,11,0.4713
Rusizi,2008,12,0.68085
Rusizi,2009,1,0.67075
Rusizi,2009,2,0.6771
Rusizi,2009,3,0.66555
Rusizi,2009,4,0.71585
Rusizi,2009,5,0.67965
Rusizi,2009,6,0.5751
Rusizi,2009,7,0.4423
Rusizi,2009,8,0.3689
Rusizi,2009,9,0.38005
Rusizi,2009,10,0.5099
Rusizi,2009,11,0.73365
Rusizi,2009,12,0.76475
