river,date,year,month,water_level,water_level_observed,runoff,runoff_observed,temp_max_observed,temp_min_observed,temp_mean_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean,temp_max_imputed,temp_min_imputed,temp_mean_imputed,precip_bias_factor,precip_imputed
Mulembwe,1981-08-01,1981,8,0.4087096774193549,0.4087096774193549,2.26,2.26,21.787096774193547,9.136666666666668,15.461881720430108,39.3,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.971117836021563,16.808070000000043,26.16754000000003,232.10263243424,0.1980908917077956,0.3757747032858871,16.615343252688206,101351.79840725806,False,False,False,0.33761778593501895,False
Mulembwe,1981-09-01,1981,9,0.4146666666666666,0.4146666666666666,9.09,9.09,21.87333333333333,8.963333333333335,15.418333333333331,117.1,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,21.290925930555545,16.24084000000005,25.469629999999995,289.28661317394,0.0708462606344305,0.3567118647747221,17.171000805555536,101285.49450000002,False,False,False,0.33761778593501895,False
Mulembwe,1981-10-01,1981,10,0.3919354838709676,0.3919354838709676,18.66,18.66,21.783870967741933,10.541935483870969,16.162903225806453,121.5,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,21.085774825268857,18.247400000000027,25.668570000000045,622.57576048642,-0.1228191808525537,0.4594719170895161,17.953651438172074,101232.44436827955,False,False,False,0.33761778593501895,False
Mulembwe,1981-11-01,1981,11,0.4363333333333334,0.4363333333333334,16.27,16.27,21.43666666666667,10.466666666666663,15.951666666666668,133.29999999999998,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.96470469444449,17.731130000000007,25.39816000000002,464.64586237756,-0.0568356901684722,0.5557482415180556,17.67377916666669,101195.55237499998,False,False,False,0.33761778593501895,False
Mulembwe,1981-12-01,1981,12,0.8080000000000002,0.8080000000000002,19.88,19.88,21.141935483870967,10.53870967741936,15.840322580645164,249.90000000000003,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.64235049731184,17.829340000000002,25.923670000000016,652.39238788192,-0.2214631855436828,0.7798316102766532,17.987719381720467,101277.92179435484,False,False,False,0.33761778593501895,False
Mulembwe,1982-01-01,1982,1,1.2648387096774187,1.2648387096774187,19.41,19.41,21.26774193548387,9.75483870967742,15.511290322580644,242.9,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.99266295698925,16.545560000000023,25.6028,594.20180341606,-0.1623583347623656,0.6757157649870968,17.94889543010754,101189.5587298387,False,False,False,0.33761778593501895,False
Mulembwe,1982-02-01,1982,2,1.1539285714285714,1.1539285714285714,18.11,18.11,21.067857142857143,10.025000000000002,15.546428571428573,166.79999999999998,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,21.27788391369052,17.56188000000003,25.92742000000004,531.70800144038,-0.1577573884717261,0.6214826455244048,17.869643065476225,101154.19967261906,False,False,False,0.33761778593501895,False
Mulembwe,1982-03-01,1982,3,1.1796774193548387,1.1796774193548387,12.78,12.78,21.60967741935484,9.832258064516129,15.720967741935484,200.4,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,21.430738077957017,17.144920000000013,26.768460000000005,443.99356777514,-0.2489272213219086,0.7651535013117379,18.23266086021505,101157.2513642473,False,False,False,0.33761778593501895,False
Mulembwe,1982-04-01,1982,4,1.8073333333333328,1.8073333333333328,15.58,15.58,20.75666666666666,11.359999999999998,16.05833333333333,281.3,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.86407844444443,17.77352000000002,25.277120000000025,595.66116244598,-0.1558457901027778,0.6196315989973611,18.37316375000006,101265.99222916667,False,False,False,0.33761778593501895,False
Mulembwe,1982-05-01,1982,5,1.6535483870967744,1.6535483870967744,12.29,12.29,20.016129032258064,10.703225806451613,15.359677419354838,141.99999999999997,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.61170438172047,17.60820000000001,24.287350000000004,491.64104553474,-0.1253829667901881,0.6834641312541666,17.988361760752696,101370.84284946237,False,False,False,0.33761778593501895,False
