river,year,month,water_fraction,water_pixels,total_pixels
Mulembwe,1984,1,,0,0
Mulembwe,1984,2,,0,0
Mulembwe,1984,3,,0,0
Mulembwe,1984,4,,0,0
Mulembwe,1984,5,0.158057,2183,13814
Mulembwe,1984,6,,0,0
Mulembwe,1984,7,,0,0
Mulembwe,1984,8,,0,0
Mulembwe,1984,9,,0,0
Mulembwe,1984,10,,0,0
Mulembwe,1984,11,,0,0
Mulembwe,1984,12,0.154904,2132,13766
Mulembwe,1985,1,,0,0
Mulembwe,1985,2,,0,0
Mulembwe,1985,3,,0,0
Mulembwe,1985,4,,0,0
Mulembwe,1985,5,,0,0
Mulembwe,1985,6,,0,0
Mulembwe,1985,7,,0,0
Mulembwe,1985,8,,0,0
Mulembwe,1985,9,,0,0
Mulembwe,1985,10,,0,0
Mulembwe,1985,11,,0,0
Mulembwe,1985,12,,0,0
Mulembwe,1986,1,,0,0
Mulembwe,1986,2,,0,0
Mulembwe,1986,3,,0,0
Mulembwe,1986,4,,0,0
Mulembwe,1986,5,,0,0
Mulembwe,1986,6,0.154065,2128,13815
Mulembwe,1986,7,0.153909,2126,13816
Mulembwe,1986,8,0.154513,2116,13698
Mulembwe,1986,9,,0,0
Mulembwe,1986,10,,0,0
Mulembwe,1986,11,,0,0
Mulembwe,1986,12,0.046245,355,7684
Mulembwe,1987,1,0.139518,1885,13513
Mulembwe,1987,2,0.155021,2122,13692
Mulembwe,1987,3,,0,0
Mulembwe,1987,4,,0,0
Mulembwe,1987,5,,0,0
Mulembwe,1987,6,,0,0
Mulembwe,1987,7,,0,0
Mulembwe,1987,8,,0,0
Mulembwe,1987,9,,0,0
Mulembwe,1987,10,,0,0
Mulembwe,1987,11,,0,0
Mulembwe,1987,12,,0,0
Mulembwe,1988,1,,0,0
Mulembwe,1988,2,,0,0
Mulembwe,1988,3,,0,0
Mulembwe,1988,4,,0,0
Mulembwe,1988,5,,0,0
Mulembwe,1988,6,,0,0
Mulembwe,1988,7,,0,0
Mulembwe,1988,8,,0,0
Mulembwe,1988,9,,0,0
Mulembwe,1988,10,,0,0
Mulembwe,1988,11,,0,0
Mulembwe,1988,12,,0,0
Mulembwe,1989,1,,0,0
Mulembwe,1989,2,,0,0
Mulembwe,1989,3,,0,0
Mulembwe,1989,4,,0,0
Mulembwe,1989,5,,0,0
Mulembwe,1989,6,,0,0
Mulembwe,1989,7,,0,0
Mulembwe,1989,8,,0,0
Mulembwe,1989,9,,0,0
Mulembwe,1989,10,,0,0
Mulembwe,1989,11,,0,0
Mulembwe,1989,12,,0,0
Mulembwe,1990,1,,0,0
Mulembwe,1990,2,,0,0
Mulembwe,1990,3,,0,0
Mulembwe,1990,4,,0,0
Mulembwe,1990,5,,0,0
Mulembwe,1990,6,,0,0
Mulembwe,1990,7,0.160378,2213,13802
Mulembwe,1990,8,,0,0
Mulembwe,1990,9,,0,0
Mulembwe,1990,10,,0,0
Mulembwe,1990,11,,0,0
Mulembwe,1990,12,0.992063,249,251
Mulembwe,1991,1,,0,0
Mulembwe,1991,2,,0,0
Mulembwe,1991,3,,0,0
Mulembwe,1991,4,,0,0
Mulembwe,1991,5,,0,0
Mulembwe,1991,6,,0,0
Mulembwe,1991,7,0.396204,1582,3995
Mulembwe,1991,8,0.639992,1889,2951
Mulembwe,1991,9,,0,0
Mulembwe,1991,10,,0,0
Mulembwe,1991,11,0.136626,280,2052
Mulembwe,1991,12,,0,0
Mulembwe,1992,1,0.135888,1818,13380
Mulembwe,1992,2,,0,0
Mulembwe,1992,3,,0,0
Mulembwe,1992,4,,0,0
Mulembwe,1992,5,,0,0
Mulembwe,1992,6,0.127014,129,1018
Mulembwe,1992,7,,0,0
Mulembwe,1992,8,0.158665,2186,13780
Mulembwe,1992,9,,0,0
Mulembwe,1992,10,,0,0
Mulembwe,1992,11,,0,0
Mulembwe,1992,12,,0,0
Mulembwe,1993,1,1.0,59,59
Mulembwe,1993,2,,0,0
Mulembwe,1993,3,,0,0
Mulembwe,1993,4,,0,0
Mulembwe,1993,5,,0,0
Mulembwe,1993,6,,0,0
Mulembwe,1993,7,,0,0
Mulembwe,1993,8,,0,0
Mulembwe,1993,9,,0,0
Mulembwe,1993,10,,0,0
Mulembwe,1993,11,,0,0
Mulembwe,1993,12,,0,0
Mulembwe,1994,1,,0,0
Mulembwe,1994,2,,0,0
Mulembwe,1994,3,,0,0
Mulembwe,1994,4,0.139895,1730,12372
Mulembwe,1994,5,0.154739,2137,13813
Mulembwe,1994,6,0.156279,2155,13792
Mulembwe,1994,7,0.154395,2115,13700
Mulembwe,1994,8,0.154031,2129,13825
Mulembwe,1994,9,,0,0
Mulembwe,1994,10,,0,0
Mulembwe,1994,11,0.158407,2006,12664
Mulembwe,1994,12,,0,0
Mulembwe,1995,1,,0,0
Mulembwe,1995,2,0.134141,1811,13501
Mulembwe,1995,3,0.013926,154,11069
Mulembwe,1995,4,,0,0
Mulembwe,1995,5,,0,0
Mulembwe,1995,6,,0,0
Mulembwe,1995,7,,0,0
Mulembwe,1995,8,,0,0
Mulembwe,1995,9,0.540148,1236,2289
Mulembwe,1995,10,,0,0
Mulembwe,1995,11,,0,0
Mulembwe,1995,12,,0,0
Mulembwe,1996,1,,0,0
Mulembwe,1996,2,0.01799,89,5001
Mulembwe,1996,3,,0,0
Mulembwe,1996,4,,0,0
Mulembwe,1996,5,,0,0
Mulembwe,1996,6,,0,0
Mulembwe,1996,7,,0,0
Mulembwe,1996,8,,0,0
Mulembwe,1996,9,,0,0
Mulembwe,1996,10,,0,0
Mulembwe,1996,11,,0,0
Mulembwe,1996,12,,0,0
Mulembwe,1997,1,,0,0
Mulembwe,1997,2,0.0,0,4
Mulembwe,1997,3,,0,0
Mulembwe,1997,4,0.187311,1881,10043
Mulembwe,1997,5,0.14944,2062,13800
Mulembwe,1997,6,0.151781,2091,13780
Mulembwe,1997,7,,0,0
Mulembwe,1997,8,0.509085,1273,2501
Mulembwe,1997,9,,0,0
Mulembwe,1997,10,,0,0
Mulembwe,1997,11,,0,0
Mulembwe,1997,12,,0,0
Mulembwe,1998,1,,0,0
Mulembwe,1998,2,,0,0
Mulembwe,1998,3,,0,0
Mulembwe,1998,4,,0,0
Mulembwe,1998,5,,0,0
Mulembwe,1998,6,,0,0
Mulembwe,1998,7,0.1669,2142,12835
Mulembwe,1998,8,,0,0
Mulembwe,1998,9,0.136702,1814,13272
Mulembwe,1998,10,0.158229,2112,13353
Mulembwe,1998,11,0.0,0,3
Mulembwe,1998,12,,0,0
Mulembwe,1999,1,,0,0
Mulembwe,1999,2,0.46919,29,63
Mulembwe,1999,3,,0,0
Mulembwe,1999,4,,0,0
Mulembwe,1999,5,,0,0
Mulembwe,1999,6,,0,0
Mulembwe,1999,7,,0,0
Mulembwe,1999,8,,0,0
Mulembwe,1999,9,0.155859,2156,13837
Mulembwe,1999,10,,0,0
Mulembwe,1999,11,,0,0
Mulembwe,1999,12,0.298174,678,2274
Mulembwe,2000,1,,0,0
Mulembwe,2000,2,,0,0
Mulembwe,2000,3,0.153838,2123,13802
Mulembwe,2000,4,0.190836,1971,10329
Mulembwe,2000,5,0.122364,952,7787
Mulembwe,2000,6,,0,0
Mulembwe,2000,7,,0,0
Mulembwe,2000,8,0.360652,1297,3597
Mulembwe,2000,9,0.142853,1934,13539
Mulembwe,2000,10,,0,0
Mulembwe,2000,11,,0,0
Mulembwe,2000,12,0.148216,2051,13839
Mulembwe,2001,1,0.149492,2056,13755
Mulembwe,2001,2,0.141033,1913,13565
Mulembwe,2001,3,0.15118,2084,13786
Mulembwe,2001,4,0.093041,549,5911
Mulembwe,2001,5,0.18126,80,441
Mulembwe,2001,6,0.154787,2105,13600
Mulembwe,2001,7,0.149474,2051,13726
Mulembwe,2001,8,0.133375,1650,12375
Mulembwe,2001,9,0.150364,2076,13808
Mulembwe,2001,10,,0,0
Mulembwe,2001,11,0.152628,2081,13639
Mulembwe,2001,12,0.146662,2015,13744
Mulembwe,2002,1,0.151949,2056,13532
Mulembwe,2002,2,,0,0
Mulembwe,2002,3,0.694235,240,346
Mulembwe,2002,4,0.019227,83,4340
Mulembwe,2002,5,0.151078,2078,13756
Mulembwe,2002,6,0.150005,2078,13854
Mulembwe,2002,7,0.150818,2087,13839
Mulembwe,2002,8,0.0,0,1159
Mulembwe,2002,9,0.147974,2050,13858
Mulembwe,2002,10,0.070662,870,12314
Mulembwe,2002,11,0.131819,1730,13130
Mulembwe,2002,12,0.147196,2013,13681
Mulembwe,2003,1,0.000288,1,3470
Mulembwe,2003,2,0.144638,1981,13700
Mulembwe,2003,3,0.149932,2071,13814
Mulembwe,2003,4,,0,0
Mulembwe,2003,5,,0,0
Mulembwe,2003,6,,0,0
Mulembwe,2003,7,0.127907,1165,9110
Mulembwe,2003,8,,0,0
Mulembwe,2003,9,,0,0
Mulembwe,2003,10,0.0,0,39
Mulembwe,2003,11,,0,0
Mulembwe,2003,12,0.15035,1990,13240
Mulembwe,2004,1,,0,0
Mulembwe,2004,2,0.027849,201,7242
Mulembwe,2004,3,1.0,1,1
Mulembwe,2004,4,0.0,0,2859
Mulembwe,2004,5,0.121269,1071,8836
Mulembwe,2004,6,0.147593,2045,13856
Mulembwe,2004,7,0.145181,2011,13852
Mulembwe,2004,8,0.143217,1979,13823
Mulembwe,2004,9,0.138806,1922,13849
Mulembwe,2004,10,0.139802,1298,9286
Mulembwe,2004,11,0.110149,995,9033
Mulembwe,2004,12,,0,0
Mulembwe,2005,1,0.145692,1317,9044
Mulembwe,2005,2,0.07432,933,12562
Mulembwe,2005,3,0.0,0,546
Mulembwe,2005,4,0.072469,595,8216
Mulembwe,2005,5,,0,0
Mulembwe,2005,6,0.140307,1933,13779
Mulembwe,2005,7,0.123102,1234,10026
Mulembwe,2005,8,0.124156,1521,12254
Mulembwe,2005,9,0.134633,1846,13714
Mulembwe,2005,10,0.116676,1357,11637
Mulembwe,2005,11,0.133535,1841,13786
Mulembwe,2005,12,0.044413,37,839
Mulembwe,2006,1,0.12041,1068,8870
Mulembwe,2006,2,0.1492,1353,9072
Mulembwe,2006,3,0.121022,1120,9257
Mulembwe,2006,4,0.144339,1907,13212
Mulembwe,2006,5,0.113086,996,8816
Mulembwe,2006,6,0.134355,1861,13857
Mulembwe,2006,7,0.135132,1868,13828
Mulembwe,2006,8,0.133415,1844,13821
Mulembwe,2006,9,0.136837,1594,11651
Mulembwe,2006,10,0.131166,1202,9166
Mulembwe,2006,11,,0,0
Mulembwe,2006,12,,0,0
Mulembwe,2007,1,0.130454,1770,13571
Mulembwe,2007,2,0.131339,1815,13823
Mulembwe,2007,3,0.132962,1833,13787
Mulembwe,2007,4,0.185258,1403,7578
Mulembwe,2007,5,0.152381,1221,8015
Mulembwe,2007,6,0.136061,1882,13834
Mulembwe,2007,7,0.114774,602,5248
Mulembwe,2007,8,0.123829,875,7073
Mulembwe,2007,9,0.793911,102,129
Mulembwe,2007,10,,0,0
Mulembwe,2007,11,1.0,64,64
Mulembwe,2007,12,0.056837,307,5418
Mulembwe,2008,1,0.078432,123,1575
Mulembwe,2008,2,0.137185,1820,13268
Mulembwe,2008,3,0.128708,1214,9432
Mulembwe,2008,4,0.0,0,23
Mulembwe,2008,5,0.148578,1859,12517
Mulembwe,2008,6,0.138994,1923,13837
Mulembwe,2008,7,0.137437,1898,13812
Mulembwe,2008,8,0.138305,1319,9539
Mulembwe,2008,9,0.13619,1884,13834
Mulembwe,2008,10,0.05071,14,279
Mulembwe,2008,11,,0,0
Mulembwe,2008,12,0.150665,1385,9196
Mulembwe,2009,1,0.152497,1432,9394
Mulembwe,2009,2,0.00495,3,606
Mulembwe,2009,3,0.142423,1758,12344
Mulembwe,2009,4,0.027543,157,5733
Mulembwe,2009,5,0.0,0,3082
Mulembwe,2009,6,0.136448,1886,13828
Mulembwe,2009,7,0.138249,1914,13849
Mulembwe,2009,8,0.116878,1096,9379
Mulembwe,2009,9,0.133548,1809,13550
Mulembwe,2009,10,,0,0
Mulembwe,2009,11,0.083624,906,10836
Mulembwe,2009,12,0.0,0,88
Mulembwe,2010,1,0.135176,1870,13835
Mulembwe,2010,2,0.136325,1889,13858
Mulembwe,2010,3,,0,0
Mulembwe,2010,4,0.112266,995,8864
Mulembwe,2010,5,0.12433,1641,13199
Mulembwe,2010,6,0.143936,1646,11437
Mulembwe,2010,7,0.658272,825,1253
Mulembwe,2010,8,0.154448,1931,12506
Mulembwe,2010,9,0.12408,1140,9188
Mulembwe,2010,10,0.119697,1132,9460
Mulembwe,2010,11,0.118602,132,1114
Mulembwe,2010,12,0.119179,1109,9312
Mulembwe,2011,1,0.104102,1045,10038
Mulembwe,2011,2,0.15796,1502,9509
Mulembwe,2011,3,0.001185,14,11819
Mulembwe,2011,4,0.140157,1932,13785
Mulembwe,2011,5,,0,0
Mulembwe,2011,6,0.139291,1349,9690
Mulembwe,2011,7,0.140074,1938,13837
Mulembwe,2011,8,0.13936,1411,10126
Mulembwe,2011,9,0.164037,1600,9757
Mulembwe,2011,10,0.135014,1287,9537
Mulembwe,2011,11,,0,0
Mulembwe,2011,12,0.300346,349,1163
Mulembwe,2012,1,0.122936,1147,9334
Mulembwe,2012,2,0.142739,1697,11892
Mulembwe,2012,3,0.119141,1606,13487
Mulembwe,2012,4,0.144089,1259,8741
Mulembwe,2012,5,0.154114,1410,9155
Mulembwe,2012,6,0.140228,1285,9168
Mulembwe,2012,7,0.151687,1624,10706
Mulembwe,2012,8,0.153849,1484,9650
Mulembwe,2012,9,0.135377,1860,13739
Mulembwe,2012,10,0.146814,1564,10656
Mulembwe,2012,11,0.023653,35,1485
Mulembwe,2012,12,,0,0
Mulembwe,2013,1,0.132596,1429,10780
Mulembwe,2013,2,0.333333,1,3
Mulembwe,2013,3,0.13872,1309,9437
Mulembwe,2013,4,,0,0
Mulembwe,2013,5,0.101708,903,8885
Mulembwe,2013,6,0.138856,1924,13856
Mulembwe,2013,7,0.138398,1918,13858
Mulembwe,2013,8,0.140067,1886,13469
Mulembwe,2013,9,0.136485,1891,13859
Mulembwe,2013,10,0.091929,1198,13032
Mulembwe,2013,11,0.135572,1877,13851
Mulembwe,2013,12,0.209312,1278,6109
Mulembwe,2014,1,0.02897,236,8148
Mulembwe,2014,2,0.146897,1789,12184
Mulembwe,2014,3,0.137468,1843,13412
Mulembwe,2014,4,0.128743,1637,12718
Mulembwe,2014,5,0.141136,1942,13762
Mulembwe,2014,6,0.138724,1917,13821
Mulembwe,2014,7,0.136486,1887,13826
Mulembwe,2014,8,0.136928,1864,13613
Mulembwe,2014,9,,0,0
Mulembwe,2014,10,0.139121,1806,12983
Mulembwe,2014,11,0.137958,1908,13835
Mulembwe,2014,12,,0,0
Mulembwe,2015,1,0.0,0,4785
Mulembwe,2015,2,0.004683,55,11909
Mulembwe,2015,3,0.1083,1294,11953
Mulembwe,2015,4,0.131988,1727,13085
Mulembwe,2015,5,0.136156,1865,13699
Mulembwe,2015,6,0.138358,1915,13843
Mulembwe,2015,7,0.138053,1894,13721
Mulembwe,2015,8,0.136466,1891,13859
Mulembwe,2015,9,0.133049,1842,13844
Mulembwe,2015,10,0.134634,1866,13859
Mulembwe,2015,11,,0,0
Mulembwe,2015,12,0.137698,1897,13776
