river,year,month,water_fraction,water_pixels,total_pixels
Nyamagana,1984,1,,0,0
Nyamagana,1984,2,,0,0
Nyamagana,1984,3,,0,0
Nyamagana,1984,4,,0,0
Nyamagana,1984,5,0.0,0,13843
Nyamagana,1984,6,,0,0
Nyamagana,1984,7,,0,0
Nyamagana,1984,8,,0,0
Nyamagana,1984,9,,0,0
Nyamagana,1984,10,0.0,0,769
Nyamagana,1984,11,,0,0
Nyamagana,1984,12,0.0,0,13843
Nyamagana,1985,1,,0,0
Nyamagana,1985,2,,0,0
Nyamagana,1985,3,,0,0
Nyamagana,1985,4,,0,0
Nyamagana,1985,5,,0,0
Nyamagana,1985,6,,0,0
Nyamagana,1985,7,,0,0
Nyamagana,1985,8,,0,0
Nyamagana,1985,9,,0,0
Nyamagana,1985,10,,0,0
Nyamagana,1985,11,,0,0
Nyamagana,1985,12,,0,0
Nyamagana,1986,1,,0,0
Nyamagana,1986,2,,0,0
Nyamagana,1986,3,,0,0
Nyamagana,1986,4,,0,0
Nyamagana,1986,5,,0,0
Nyamagana,1986,6,,0,0
Nyamagana,1986,7,0.0,0,13842
Nyamagana,1986,8,0.0,0,13841
Nyamagana,1986,9,,0,0
Nyamagana,1986,10,,0,0
Nyamagana,1986,11,0.0,0,12953
Nyamagana,1986,12,0.0,0,9241
Nyamagana,1987,1,0.0,0,13842
Nyamagana,1987,2,0.0,0,13843
Nyamagana,1987,3,0.0,0,880
Nyamagana,1987,4,0.0,0,13842
Nyamagana,1987,5,0.0,0,13842
Nyamagana,1987,6,,0,0
Nyamagana,1987,7,,0,0
Nyamagana,1987,8,,0,0
Nyamagana,1987,9,0.0,0,6032
Nyamagana,1987,10,,0,0
Nyamagana,1987,11,,0,0
Nyamagana,1987,12,,0,0
Nyamagana,1988,1,,0,0
Nyamagana,1988,2,,0,0
Nyamagana,1988,3,,0,0
Nyamagana,1988,4,,0,0
Nyamagana,1988,5,,0,0
Nyamagana,1988,6,,0,0
Nyamagana,1988,7,,0,0
Nyamagana,1988,8,,0,0
Nyamagana,1988,9,,0,0
Nyamagana,1988,10,,0,0
Nyamagana,1988,11,,0,0
Nyamagana,1988,12,,0,0
Nyamagana,1989,1,,0,0
Nyamagana,1989,2,,0,0
Nyamagana,1989,3,,0,0
Nyamagana,1989,4,,0,0
Nyamagana,1989,5,,0,0
Nyamagana,1989,6,,0,0
Nyamagana,1989,7,,0,0
Nyamagana,1989,8,,0,0
Nyamagana,1989,9,,0,0
Nyamagana,1989,10,,0,0
Nyamagana,1989,11,,0,0
Nyamagana,1989,12,,0,0
Nyamagana,1990,1,,0,0
Nyamagana,1990,2,,0,0
Nyamagana,1990,3,,0,0
Nyamagana,1990,4,,0,0
Nyamagana,1990,5,,0,0
Nyamagana,1990,6,,0,0
Nyamagana,1990,7,0.0,0,13842
Nyamagana,1990,8,,0,0
Nyamagana,1990,9,,0,0
Nyamagana,1990,10,,0,0
Nyamagana,1990,11,,0,0
Nyamagana,1990,12,,0,0
Nyamagana,1991,1,,0,0
Nyamagana,1991,2,,0,0
Nyamagana,1991,3,,0,0
Nyamagana,1991,4,,0,0
Nyamagana,1991,5,,0,0
Nyamagana,1991,6,,0,0
Nyamagana,1991,7,0.0,0,4491
Nyamagana,1991,8,,0,0
Nyamagana,1991,9,,0,0
Nyamagana,1991,10,,0,0
Nyamagana,1991,11,,0,0
Nyamagana,1991,12,,0,0
Nyamagana,1992,1,,0,0
Nyamagana,1992,2,,0,0
Nyamagana,1992,3,,0,0
Nyamagana,1992,4,,0,0
Nyamagana,1992,5,,0,0
Nyamagana,1992,6,,0,0
Nyamagana,1992,7,,0,0
Nyamagana,1992,8,,0,0
Nyamagana,1992,9,,0,0
Nyamagana,1992,10,,0,0
Nyamagana,1992,11,,0,0
Nyamagana,1992,12,,0,0
Nyamagana,1993,1,,0,0
Nyamagana,1993,2,,0,0
Nyamagana,1993,3,,0,0
Nyamagana,1993,4,,0,0
Nyamagana,1993,5,,0,0
Nyamagana,1993,6,,0,0
Nyamagana,1993,7,,0,0
Nyamagana,1993,8,,0,0
Nyamagana,1993,9,,0,0
Nyamagana,1993,10,,0,0
Nyamagana,1993,11,,0,0
Nyamagana,1993,12,,0,0
Nyamagana,1994,1,,0,0
Nyamagana,1994,2,,0,0
Nyamagana,1994,3,,0,0
Nyamagana,1994,4,,0,0
Nyamagana,1994,5,0.0,0,13843
Nyamagana,1994,6,0.0,0,13829
Nyamagana,1994,7,0.0,0,13789
Nyamagana,1994,8,0.0,0,13843
Nyamagana,1994,9,,0,0
Nyamagana,1994,10,0.0,0,13525
Nyamagana,1994,11,0.0,0,8089
Nyamagana,1994,12,0.0,0,2925
Nyamagana,1995,1,0.0,0,13843
Nyamagana,1995,2,0.0,0,13843
Nyamagana,1995,3,0.0,0,13102
Nyamagana,1995,4,,0,0
Nyamagana,1995,5,,0,0
Nyamagana,1995,6,,0,0
Nyamagana,1995,7,,0,0
Nyamagana,1995,8,,0,0
Nyamagana,1995,9,,0,0
Nyamagana,1995,10,,0,0
Nyamagana,1995,11,,0,0
Nyamagana,1995,12,,0,0
Nyamagana,1996,1,,0,0
Nyamagana,1996,2,0.0,0,13820
Nyamagana,1996,3,,0,0
Nyamagana,1996,4,,0,0
Nyamagana,1996,5,,0,0
Nyamagana,1996,6,,0,0
Nyamagana,1996,7,,0,0
Nyamagana,1996,8,,0,0
Nyamagana,1996,9,,0,0
Nyamagana,1996,10,,0,0
Nyamagana,1996,11,,0,0
Nyamagana,1996,12,,0,0
Nyamagana,1997,1,,0,0
Nyamagana,1997,2,,0,0
Nyamagana,1997,3,,0,0
Nyamagana,1997,4,,0,0
Nyamagana,1997,5,,0,0
Nyamagana,1997,6,,0,0
Nyamagana,1997,7,,0,0
Nyamagana,1997,8,,0,0
Nyamagana,1997,9,,0,0
Nyamagana,1997,10,,0,0
Nyamagana,1997,11,,0,0
Nyamagana,1997,12,,0,0
Nyamagana,1998,1,,0,0
Nyamagana,1998,2,,0,0
Nyamagana,1998,3,,0,0
Nyamagana,1998,4,,0,0
Nyamagana,1998,5,,0,0
Nyamagana,1998,6,,0,0
Nyamagana,1998,7,0.0,0,5
Nyamagana,1998,8,,0,0
Nyamagana,1998,9,,0,0
Nyamagana,1998,10,0.0,0,13811
Nyamagana,1998,11,0.0,0,10262
Nyamagana,1998,12,,0,0
Nyamagana,1999,1,0.0,0,13843
Nyamagana,1999,2,,0,0
Nyamagana,1999,3,,0,0
Nyamagana,1999,4,,0,0
Nyamagana,1999,5,,0,0
Nyamagana,1999,6,,0,0
Nyamagana,1999,7,,0,0
Nyamagana,1999,8,,0,0
Nyamagana,1999,9,0.0,0,13843
Nyamagana,1999,10,,0,0
Nyamagana,1999,11,0.0,0,2097
Nyamagana,1999,12,0.0,0,13843
Nyamagana,2000,1,,0,0
Nyamagana,2000,2,,0,0
Nyamagana,2000,3,0.0,0,3206
Nyamagana,2000,4,0.0,0,12639
Nyamagana,2000,5,0.0,0,4764
Nyamagana,2000,6,0.0,0,13834
Nyamagana,2000,7,,0,0
Nyamagana,2000,8,0.0,0,1628
Nyamagana,2000,9,0.0,0,13832
Nyamagana,2000,10,0.0,0,7141
Nyamagana,2000,11,0.0,0,1893
Nyamagana,2000,12,0.0,0,13843
Nyamagana,2001,1,0.0,0,121
Nyamagana,2001,2,0.0,0,13773
Nyamagana,2001,3,0.0,0,13843
Nyamagana,2001,4,0.0,0,12915
Nyamagana,2001,5,,0,0
Nyamagana,2001,6,0.0,0,13843
Nyamagana,2001,7,0.0,0,2090
Nyamagana,2001,8,0.0,0,13597
