river,date,year,month,water_level,water_level_observed,runoff,runoff_observed,temp_max_observed,temp_min_observed,temp_mean_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean
Rusizi,1981-01-01,1981,1,1.56,1.56,,,29.14838709677419,18.770967741935486,23.95967741935484,73.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.213570013440858,14.913100000000043,32.45114000000001,10.69593430046,0.2966959724875,0.7372392638422043,14.708146129032286,101196.98811827957
Rusizi,1981-02-01,1981,2,1.38,1.38,,,29.675,18.921428571428574,24.298214285714288,95.10000000000001,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.187209241071457,17.260640000000024,33.24078000000003,87.05210661564,0.2835023736041667,0.4701680238690476,14.867077678571434,101118.13862351191
Rusizi,1981-03-01,1981,3,1.41,1.41,,,29.016129032258068,19.706451612903226,24.361290322580647,92.89999999999998,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.068100362903238,17.12826000000001,31.54504000000003,39.40153124612,-0.1248559441451613,0.28702573760402283,15.812205954301078,101160.97969758064
Rusizi,1981-04-01,1981,4,1.7,1.7,,,30.00666666666667,19.67,24.83833333333334,64.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.90873381944448,17.238550000000032,29.34274000000005,215.24381712160002,0.05180011338486112,0.4047458026738889,17.258250444444457,101229.82693055556
Rusizi,1981-05-01,1981,5,1.95,1.95,,,29.39032258064516,18.690322580645162,24.04032258064516,48.9,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.327266733871,14.957300000000032,28.30728000000005,245.05043054298,0.6304718151612904,0.7192541411254569,17.019822069892484,101343.03280241936
Rusizi,1981-06-01,1981,6,1.66,1.66,,,29.91333333333333,17.366666666666667,23.64,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.184493875000044,14.436059999999998,29.525959999999998,28.3670426889,1.0420266629520833,1.0275189302144445,15.161842569444445,101439.1207986111
Rusizi,1981-07-01,1981,7,1.24,1.24,,,29.0741935483871,16.738709677419358,22.90645161290323,0.3,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.341040201612884,15.177700000000016,30.493899999999996,9.38367834216,0.769990223007715,1.3388259494797043,13.653700685483898,101378.9219422043
Rusizi,1981-08-01,1981,8,1.08,1.08,,,29.75483870967741,18.11935483870968,23.937096774193545,61.99999999999999,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.50274301075268,14.696300000000008,30.116720000000043,29.84809874404,1.090934157110215,0.8739935271748656,14.045710752688194,101315.13272849462
Rusizi,1981-09-01,1981,9,1.07,1.07,,,30.0,17.62666666666667,23.813333333333333,35.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.008965027777833,14.990560000000016,32.38850000000002,10.660886862,1.0989373531727777,0.6522996998272222,13.100522458333387,101249.40802777778
Rusizi,1981-10-01,1981,10,1.14,1.14,,,30.51290322580645,18.729032258064514,24.62096774193548,50.1,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.57814336021511,16.45657,31.20458000000002,9.482860557739999,1.1080853459276883,0.41642572575712367,13.856861559139816,101184.491922043
Rusizi,1981-11-01,1981,11,1.1,1.1,,,30.086666666666666,17.346666666666668,23.71666666666667,62.099999999999994,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.880416583333385,16.06686000000002,31.517100000000028,8.289337183679999,0.9103490965865279,0.3181058239170833,12.952672291666715,101137.06904166666
Rusizi,1981-12-01,1981,12,1.15,1.15,,,28.587096774193547,19.206451612903226,23.89677419354839,117.40000000000002,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.68164131720431,16.86053000000004,31.03000000000003,25.25496470624,0.3639230283581989,0.5462861627723118,15.042585618279588,101208.16272177419
Rusizi,1982-01-01,1982,1,1.19,1.19,,,29.693548387096776,18.625806451612902,24.15967741935484,40.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.022616384408593,17.101830000000007,31.965779999999995,31.06689473422,0.13624140000206988,0.4242587960814516,15.158074408602147,101122.85827284947
Rusizi,1982-02-01,1982,2,1.13,1.13,,,29.971428571428564,18.58214285714286,24.27678571428571,67.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.613972708333336,17.328640000000007,32.824850000000026,11.62385949914,0.019927577188244044,0.2759219362769345,14.200746860119068,101083.47738839287
Rusizi,1982-03-01,1982,3,1.11,1.11,,,30.16451612903226,17.73225806451613,23.948387096774198,76.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.674566169354875,16.69363000000004,33.294820000000016,28.84626385996,0.5221778153837365,0.7276713528687903,14.59615740591397,101071.14754032258
