date,target_value,target_outlier_count,lat,lon,elev
1981-08-01,0.4087096774193549,0,-4.0,29.44,780.0
1981-09-01,0.4146666666666666,0,-4.0,29.44,780.0
1981-10-01,0.3919354838709676,0,-4.0,29.44,780.0
1981-11-01,0.4363333333333334,0,-4.0,29.44,780.0
1981-12-01,0.8080000000000002,0,-4.0,29.44,780.0
1982-01-01,1.2648387096774187,0,-4.0,29.44,780.0
1982-02-01,1.1539285714285714,0,-4.0,29.44,780.0
1982-03-01,1.1796774193548387,0,-4.0,29.44,780.0
1982-04-01,1.8073333333333332,0,-4.0,29.44,780.0
1982-05-01,1.6535483870967744,0,-4.0,29.44,780.0
1982-06-01,0.8773333333333334,0,-4.0,29.44,780.0
1982-07-01,0.5506451612903226,0,-4.0,29.44,780.0
1982-08-01,0.3580645161290322,0,-4.0,29.44,780.0
1982-09-01,0.2743333333333334,0,-4.0,29.44,780.0
1982-10-01,0.3829032258064516,0,-4.0,29.44,780.0
1982-11-01,0.9356666666666668,0,-4.0,29.44,780.0
1982-12-01,1.4393548387096773,0,-4.0,29.44,780.0
1983-01-01,1.1832258064516123,0,-4.0,29.44,780.0
1983-02-01,1.1835714285714285,0,-4.0,29.44,780.0
1983-03-01,1.194193548387097,0,-4.0,29.44,780.0
1983-04-01,1.213,0,-4.0,29.44,780.0
1983-05-01,1.016451612903226,0,-4.0,29.44,780.0
1983-06-01,0.5846666666666667,0,-4.0,29.44,780.0
1983-07-01,0.3667741935483872,0,-4.0,29.44,780.0
1983-08-01,0.2980645161290323,0,-4.0,29.44,780.0
1983-10-01,0.4034615384615385,0,-4.0,29.44,780.0
1983-11-01,0.4930000000000001,0,-4.0,29.44,780.0
1983-12-01,0.6748387096774193,0,-4.0,29.44,780.0
1984-01-01,1.07741935483871,0,-4.0,29.44,780.0
1984-02-01,1.1562068965517245,0,-4.0,29.44,780.0
1984-03-01,1.1464516129032265,0,-4.0,29.44,780.0
1984-04-01,1.0993333333333333,0,-4.0,29.44,780.0
1984-05-01,0.7235483870967739,0,-4.0,29.44,780.0
1984-06-01,0.393,0,-4.0,29.44,780.0
1984-07-01,0.2758064516129032,0,-4.0,29.44,780.0
1984-08-01,0.2393548387096774,0,-4.0,29.44,780.0
1984-10-01,0.2964285714285714,0,-4.0,29.44,780.0
1984-11-01,0.6069999999999999,0,-4.0,29.44,780.0
1984-12-01,0.805483870967742,0,-4.0,29.44,780.0
1985-01-01,0.8858064516129035,0,-4.0,29.44,780.0
1985-02-01,0.8108,0,-4.0,29.44,780.0
1985-03-01,0.8928,0,-4.0,29.44,780.0
1985-04-01,1.7916666666666667,0,-4.0,29.44,780.0
1985-05-01,1.1345161290322578,0,-4.0,29.44,780.0
1985-06-01,0.5536666666666668,0,-4.0,29.44,780.0
1985-07-01,0.3264516129032257,0,-4.0,29.44,780.0
1985-08-01,0.185483870967742,0,-4.0,29.44,780.0
1985-09-01,0.189,0,-4.0,29.44,780.0
1985-10-01,0.2016129032258065,0,-4.0,29.44,780.0
1985-11-01,0.4513333333333333,0,-4.0,29.44,780.0
1986-01-01,1.1045833333333337,0,-4.0,29.44,780.0
1986-02-01,1.1235714285714284,0,-4.0,29.44,780.0
1986-03-01,1.0822580645161293,0,-4.0,29.44,780.0
1986-04-01,1.3326666666666669,0,-4.0,29.44,780.0
1986-05-01,1.515483870967742,0,-4.0,29.44,780.0
1986-06-01,0.6679999999999997,0,-4.0,29.44,780.0
1986-07-01,0.3896774193548387,0,-4.0,29.44,780.0
