date,target_value,target_outlier_count,lat,lon,elev
1981-01-01,1.56,0,-3.34,29.27,774.0
1981-02-01,1.38,0,-3.34,29.27,774.0
1981-03-01,1.41,0,-3.34,29.27,774.0
1981-04-01,1.7,0,-3.34,29.27,774.0
1981-05-01,1.95,0,-3.34,29.27,774.0
1981-06-01,1.66,0,-3.34,29.27,774.0
1981-07-01,1.24,0,-3.34,29.27,774.0
1981-08-01,1.08,0,-3.34,29.27,774.0
1981-09-01,1.07,0,-3.34,29.27,774.0
1981-10-01,1.14,0,-3.34,29.27,774.0
1981-11-01,1.1,0,-3.34,29.27,774.0
1981-12-01,1.15,0,-3.34,29.27,774.0
1982-01-01,1.19,0,-3.34,29.27,774.0
1982-02-01,1.13,0,-3.34,29.27,774.0
1982-03-01,1.11,0,-3.34,29.27,774.0
1982-04-01,1.35,0,-3.34,29.27,774.0
1982-05-01,1.54,0,-3.34,29.27,774.0
1982-06-01,1.37,0,-3.34,29.27,774.0
1982-07-01,1.06,0,-3.34,29.27,774.0
1982-08-01,0.6,0,-3.34,29.27,774.0
1982-09-01,0.61,0,-3.34,29.27,774.0
1982-10-01,0.78,0,-3.34,29.27,774.0
1982-11-01,1.16,0,-3.34,29.27,774.0
1982-12-01,1.55,0,-3.34,29.27,774.0
1983-01-01,1.39,0,-3.34,29.27,774.0
1983-02-01,1.34,0,-3.34,29.27,774.0
1983-03-01,1.4,0,-3.34,29.27,774.0
1983-04-01,1.71,0,-3.34,29.27,774.0
1983-05-01,1.57,0,-3.34,29.27,774.0
1983-06-01,1.21,0,-3.34,29.27,774.0
1983-07-01,1.06,0,-3.34,29.27,774.0
1983-08-01,0.85,0,-3.34,29.27,774.0
1983-09-01,0.85,0,-3.34,29.27,774.0
1983-10-01,0.96,0,-3.34,29.27,774.0
1983-11-01,0.92,0,-3.34,29.27,774.0
1983-12-01,0.92,0,-3.34,29.27,774.0
1984-01-01,0.96,0,-3.34,29.27,774.0
1984-02-01,0.98,0,-3.34,29.27,774.0
1984-03-01,1.12,0,-3.34,29.27,774.0
1984-04-01,1.28,0,-3.34,29.27,774.0
1984-05-01,1.0,0,-3.34,29.27,774.0
1984-06-01,0.77,0,-3.34,29.27,774.0
1984-07-01,0.62,0,-3.34,29.27,774.0
1984-08-01,0.53,0,-3.34,29.27,774.0
1984-09-01,0.34,0,-3.34,29.27,774.0
1984-10-01,0.58,0,-3.34,29.27,774.0
1984-11-01,0.65,0,-3.34,29.27,774.0
1984-12-01,0.7,0,-3.34,29.27,774.0
1985-01-01,0.69,0,-3.34,29.27,774.0
1985-02-01,0.81,0,-3.34,29.27,774.0
1985-03-01,0.8,0,-3.34,29.27,774.0
1985-04-01,1.54,0,-3.34,29.27,774.0
1985-05-01,1.35,0,-3.34,29.27,774.0
1985-06-01,1.03,0,-3.34,29.27,774.0
1985-07-01,0.67,0,-3.34,29.27,774.0
1985-08-01,0.55,0,-3.34,29.27,774.0
1985-09-01,0.59,0,-3.34,29.27,774.0
1985-10-01,0.54,0,-3.34,29.27,774.0
1985-11-01,0.59,0,-3.34,29.27,774.0
1985-12-01,0.62,0,-3.34,29.27,774.0
1986-01-01,0.75,0,-3.34,29.27,774.0
1986-02-01,0.8,0,-3.34,29.27,774.0
1986-03-01,0.78,0,-3.34,29.27,774.0
1986-04-01,1.12,0,-3.34,29.27,774.0
1986-05-01,1.35,0,-3.34,29.27,774.0
1986-06-01,0.86,0,-3.34,29.27,774.0
1986-07-01,0.63,0,-3.34,29.27,774.0
1986-08-01,0.19,0,-3.34,29.27,774.0
1986-09-01,0.27,0,-3.34,29.27,774.0
1986-10-01,0.49,0,-3.34,29.27,774.0
1986-11-01,0.6,0,-3.34,29.27,774.0
1986-12-01,0.7,0,-3.34,29.27,774.0
1987-01-01,0.83,0,-3.34,29.27,774.0
1987-02-01,0.95,0,-3.34,29.27,774.0
1987-03-01,1.09,0,-3.34,29.27,774.0
1987-04-01,1.28,0,-3.34,29.27,774.0
1987-05-01,1.53,0,-3.34,29.27,774.0
1987-06-01,1.35,0,-3.34,29.27,774.0
1987-07-01,0.82,0,-3.34,29.27,774.0
1987-08-01,0.5,0,-3.34,29.27,774.0
1987-09-01,0.59,0,-3.34,29.27,774.0
1987-10-01,0.66,0,-3.34,29.27,774.0
1987-11-01,1.14,0,-3.34,29.27,774.0
1987-12-01,1.23,0,-3.34,29.27,774.0
1988-01-01,1.19,0,-3.34,29.27,774.0
1988-02-01,1.16,0,-3.34,29.27,774.0
1988-03-01,1.29,0,-3.34,29.27,774.0
1988-04-01,1.51,0,-3.34,29.27,774.0
1988-05-01,1.56,0,-3.34,29.27,774.0
1988-06-01,1.18,0,-3.34,29.27,774.0
1988-07-01,0.87,0,-3.34,29.27,774.0
1988-08-01,0.93,0,-3.34,29.27,774.0
1988-09-01,0.91,0,-3.34,29.27,774.0
1988-10-01,0.8,0,-3.34,29.27,774.0
1988-11-01,0.96,0,-3.34,29.27,774.0
1988-12-01,0.96,0,-3.34,29.27,774.0
1989-01-01,1.1,0,-3.34,29.27,774.0
1989-02-01,1.24,0,-3.34,29.27,774.0
1989-03-01,1.28,0,-3.34,29.27,774.0
1989-04-01,1.36,0,-3.34,29.27,774.0
1989-05-01,1.22,0,-3.34,29.27,774.0
1989-06-01,1.13,0,-3.34,29.27,774.0
1989-07-01,1.01,0,-3.34,29.27,774.0
1989-08-01,0.89,0,-3.34,29.27,774.0
1989-09-01,0.78,0,-3.34,29.27,774.0
1989-10-01,0.8,0,-3.34,29.27,774.0
1989-11-01,0.85,0,-3.34,29.27,774.0
1989-12-01,1.17,0,-3.34,29.27,774.0
1990-01-01,1.31,0,-3.34,29.27,774.0
1990-02-01,1.29,0,-3.34,29.27,774.0
1990-03-01,1.69,0,-3.34,29.27,774.0
1990-04-01,1.8,0,-3.34,29.27,774.0
1990-05-01,1.87,0,-3.34,29.27,774.0
1990-06-01,1.37,0,-3.34,29.27,774.0
1990-07-01,1.17,0,-3.34,29.27,774.0
1990-08-01,1.11,0,-3.34,29.27,774.0
1990-09-01,1.17,0,-3.34,29.27,774.0
1990-10-01,1.07,0,-3.34,29.27,774.0
