river,date,year,month,water_level,water_level_observed,runoff,runoff_observed,temp_max_observed,temp_min_observed,temp_mean_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean
Mutimbuzi,1989-01-01,1989,1,1.8596153846153842,1.8596153846153842,8.73,8.73,28.193548387096772,19.129032258064516,23.661290322580644,147.8,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.78219807795699,16.222530000000006,28.683130000000006,54.053783343940005,-0.6808455879643817,-0.19117783937661292,15.414559018817215,101198.17597446236
Mutimbuzi,1989-02-01,1989,2,1.829285714285714,1.829285714285714,10.62,10.62,28.114285714285717,19.107142857142858,23.610714285714288,151.50000000000003,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.328597812499993,16.400350000000003,31.472920000000045,59.8285200184,0.2658243637603571,0.019505524639821428,15.34840629464287,101234.0859077381
Mutimbuzi,1989-03-01,1989,3,1.7393548387096776,1.7393548387096776,16.74,16.74,28.9741935483871,18.948387096774198,23.96129032258065,162.3,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.369334166666704,16.59268000000003,31.976130000000012,44.51107956652,-0.09112331458548388,0.25504182033333334,16.013162876344154,101093.4695766129
Mutimbuzi,1989-04-01,1989,4,1.7169999999999999,1.7169999999999999,12.98,12.98,29.076666666666664,19.37,24.223333333333333,130.29999999999998,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.714057722222265,16.370480000000043,29.156949999999995,164.46590390763998,0.6663077655453695,0.5297544701620833,16.685040180555575,101199.39888194443
Mutimbuzi,1989-05-01,1989,5,1.721290322580645,1.721290322580645,14.9,14.9,28.716129032258067,18.490322580645163,23.603225806451615,147.20000000000002,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.12654424731187,14.725369999999998,28.931759999999997,134.51337776276,1.121380487003629,0.702349643520699,16.0388841263441,101412.63735887095
Mutimbuzi,1989-06-01,1989,6,,,1.75,1.75,28.95333333333334,16.79,22.87166666666667,10.8,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.092777375000026,13.909330000000011,29.180200000000013,27.46367460716,1.040251648456111,1.1377232861836528,15.48409659722222,101491.23281944444
Mutimbuzi,1989-07-01,1989,7,1.568387096774194,1.568387096774194,1.08,1.08,28.719354838709677,15.880645161290323,22.3,6.7,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.367648534946227,14.035850000000039,29.04128000000003,6.97088243716,0.7480183263400403,1.220643915550672,14.119896733870974,101503.08012768817
Mutimbuzi,1989-08-01,1989,8,1.525806451612903,1.525806451612903,1.05,1.05,29.861290322580636,16.241935483870964,23.051612903225802,13.6,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.07658147849463,15.733450000000005,31.083460000000002,2.6583671629800003,1.137832783783199,1.084878982366613,13.739609274193583,101352.8898857527
Mutimbuzi,1989-09-01,1989,9,1.6089999999999998,1.6089999999999998,11.31,11.31,30.823333333333327,17.383333333333333,24.10333333333333,23.299999999999997,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.77034709722227,16.33987000000002,32.42617000000001,11.61003115954,1.1857309555255555,0.5193991981097222,13.436457944444442,101168.0480625
Mutimbuzi,1989-10-01,1989,10,1.6670967741935485,1.6670967741935485,19.73,19.73,29.4258064516129,17.999999999999996,23.71290322580645,96.90000000000002,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.462974677419368,16.571619999999996,31.19634000000002,19.216299074880002,1.1177506189293012,0.3689741760818548,14.039099677419358,101218.24819892473
Mutimbuzi,1989-11-01,1989,11,1.7099999999999989,1.7099999999999989,15.38,15.38,29.276666666666664,18.953333333333333,24.115,48.900000000000006,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.440977513888924,16.33987000000002,30.56722000000002,201.59387571972002,0.9771901053795833,0.3426080270725,15.392942041666686,101183.61287499999
Mutimbuzi,1989-12-01,1989,12,,,17.87,17.87,28.483870967741936,19.21612903225807,23.85,169.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,22.977269569892485,17.421400000000006,29.908800000000042,107.55872746478,-0.010815773856182796,0.16495366236801073,17.366444045698927,101238.50637096773
Mutimbuzi,1990-01-01,1990,1,1.7922580645161292,1.7922580645161292,9.48,9.48,29.438709677419357,18.92903225806451,24.18387096774193,68.60000000000001,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.281057150537663,15.622670000000028,30.15548000000001,40.828227910260004,0.8202114204040323,0.16890845829837364,15.972622486559146,101176.72463709676
Mutimbuzi,1990-02-01,1990,2,1.8849999999999998,1.8849999999999998,17.18,17.18,29.567857142857147,19.514285714285712,24.541071428571428,167.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.375603333333345,16.83000000000004,30.675440000000037,53.153276170539996,-0.23600537350014883,0.19995083212425593,16.848854077380963,101233.1039732143
