model,horizon_months,n,mae_m,rmse_m,bias_m,nrmse_range,nrmse_std,n_aligned,skill_vs_pers,skill_vs_seasonal
persistence,1,61,0.12576229508196782,0.1595221133410884,0.009030054644808917,0.10990155931180662,0.4130452105158267,61,0.0,0.7918398665469516
sarimax,1,55,0.10120972348004423,0.11988731215608481,0.008441708227137083,0.08259546135451876,0.3104201608826857,55,0.4393589539977355,0.8879605753656536
seasonal_naive,1,61,0.27932513661202857,0.3496408084017335,0.16840163934425917,0.2408824033081165,0.9053131148182951,61,-3.8039938455629168,0.0
xgboost,1,61,0.15211206454917553,0.1874399907263482,0.09356189698599814,0.12913537080699064,0.4853320258057764,61,-0.3806472085704027,0.7126042928124062
xgboost_diff,1,61,0.10307381674174505,0.12898278525496443,-0.004271515770229882,0.0888617190871261,0.33397076162500994,61,0.34623493040457487,0.8639121758660748
persistence,3,61,0.27767486338797476,0.3324787309849663,0.03434699453551827,0.2290587192455832,0.8608759284556714,61,0.0,0.09576043615056717
sarimax,3,55,0.1528714441260118,0.1892740239093688,0.014059768555224847,0.13039891416422147,0.49008082587059243,55,0.6797098659183082,0.711876890578288
seasonal_naive,3,61,0.27932513661202857,0.3496408084017335,0.16840163934425917,0.2408824033081165,0.9053131148182951,61,-0.1059016216265809,0.0
xgboost,3,59,0.27206689728990435,0.3246052535792972,0.21087586621645496,0.2236343462482225,0.8404893998145758,59,0.04339962092210681,0.1179926755884787
xgboost_diff,3,59,0.16827244950301543,0.19952722931864292,0.0011796083603435286,0.13746278285817537,0.5166291037114228,59,0.6385703279991498,0.6667536152644091
persistence,6,61,0.3697978142076472,0.46609570409241635,0.08276229508196704,0.32111312717355367,1.206845835885671,61,0.0,-0.7770758661385864
sarimax,6,55,0.17881325472155202,0.21562196697949235,0.007937140519958452,0.14855113122941155,0.5583026633583427,55,0.7675148814162841,0.6041014538351068
seasonal_naive,6,61,0.27932513661202857,0.3496408084017335,0.16840163934425917,0.2408824033081165,0.9053131148182951,61,0.4372778230493315,0.0
xgboost,6,56,0.32710589308965765,0.4050543448996077,0.27608657110305046,0.27905914219745426,1.0487935099109265,56,0.16682771756416037,-0.38546047466365563
xgboost_diff,6,56,0.21711890830100547,0.271562909963057,0.0002835512941804349,0.1870912228474372,0.7031486542191522,56,0.6255023205443588,0.3772575688402049
