horizon_months,rank,feature,importance
1,1,month_cos,0.19684408605098724
1,2,era5_tp_mm,0.12359192222356796
1,3,era5_tp_mm_lag_12,0.06048313155770302
1,4,month_sin,0.024354752153158188
1,5,era5_d2m_C,0.017629578709602356
1,6,era5_wind_speed,0.01421539206057787
1,7,era5_v10,0.010909364558756351
1,8,river_mpanda_gatura_level_m_lag_3,0.01081081386655569
1,9,month,0.010116811841726303
1,10,river_jiji_ndago_level_m_lag_12,0.010021750815212727
1,11,lake_level_m_roll_mean_24,0.009818865917623043
1,12,river_mulembwe_mutambara_level_m_lag_1,0.009724338538944721
1,13,river_nyakagunda_musenyi_level_m_lag_6,0.009334374219179153
1,14,era5_t2m_C,0.009316528216004372
1,15,river_rusizi_gatumba_level_m_lag_1,0.00912642665207386
3,1,month_cos,0.49679410457611084
3,2,era5_wind_speed,0.10153006762266159
3,3,era5_tp_mm,0.016508132219314575
3,4,river_mpanda_gatura_level_m_lag_6,0.012180821038782597
3,5,river_rusizi_gatumba_level_m_lag_12,0.010575921274721622
3,6,river_dama_mbuga_level_m,0.009589793160557747
3,7,era5_tp_mm_roll_mean_6,0.008908644318580627
3,8,river_jiji_ndago_level_m_lag_12,0.00754422415047884
3,9,month,0.0075264303013682365
3,10,lake_level_m_roll_mean_12,0.007210074458271265
3,11,era5_d2m_C_roll_mean_36,0.006966451182961464
3,12,river_jiji_ndago_level_m,0.006583701819181442
3,13,river_kaburantwa_mission_level_m_lag_3,0.006029326468706131
3,14,era5_v10,0.005971849430352449
3,15,month_sin,0.005906159058213234
6,1,month,0.30928996205329895
6,2,month_sin,0.23478899896144867
6,3,month_cos,0.033156320452690125
6,4,era5_tp_mm_roll_mean_6,0.020247019827365875
6,5,river_jiji_ndago_level_m_lag_12,0.014132499694824219
6,6,era5_tp_mm,0.012907182797789574
6,7,era5_v10,0.012373442761600018
6,8,lake_level_m_roll_mean_36,0.011946381069719791
6,9,era5_tp_mm_lag_12,0.011636986397206783
6,10,era5_d2m_C,0.011431506834924221
6,11,era5_u10,0.01052076742053032
6,12,lake_level_m_roll_mean_12,0.01031351089477539
6,13,era5_wind_speed,0.010025134310126305
6,14,lake_level_m_roll_mean_6,0.009866415522992611
6,15,era5_d2m_C_roll_mean_36,0.009843461215496063
