river,year,month,water_fraction,water_pixels,total_pixels
Rusizi,1984,1,,0,0
Rusizi,1984,2,,0,0
Rusizi,1984,3,,0,0
Rusizi,1984,4,,0,0
Rusizi,1984,5,0.017474,241,13792
Rusizi,1984,6,,0,0
Rusizi,1984,7,,0,0
Rusizi,1984,8,,0,0
Rusizi,1984,9,,0,0
Rusizi,1984,10,0.0,0,10
Rusizi,1984,11,,0,0
Rusizi,1984,12,0.014127,193,13710
Rusizi,1985,1,,0,0
Rusizi,1985,2,,0,0
Rusizi,1985,3,,0,0
Rusizi,1985,4,,0,0
Rusizi,1985,5,,0,0
Rusizi,1985,6,,0,0
Rusizi,1985,7,,0,0
Rusizi,1985,8,,0,0
Rusizi,1985,9,,0,0
Rusizi,1985,10,,0,0
Rusizi,1985,11,,0,0
Rusizi,1985,12,,0,0
Rusizi,1986,1,,0,0
Rusizi,1986,2,,0,0
Rusizi,1986,3,,0,0
Rusizi,1986,4,,0,0
Rusizi,1986,5,,0,0
Rusizi,1986,6,0.014322,123,8621
Rusizi,1986,7,0.017996,247,13744
Rusizi,1986,8,0.013309,173,13031
Rusizi,1986,9,,0,0
Rusizi,1986,10,,0,0
Rusizi,1986,11,0.012106,105,8735
Rusizi,1986,12,,0,0
Rusizi,1987,1,0.011248,151,13484
Rusizi,1987,2,0.015775,218,13820
Rusizi,1987,3,,0,0
Rusizi,1987,4,0.003823,50,13192
Rusizi,1987,5,0.007221,97,13480
Rusizi,1987,6,,0,0
Rusizi,1987,7,,0,0
Rusizi,1987,8,,0,0
Rusizi,1987,9,0.003851,21,5453
Rusizi,1987,10,,0,0
Rusizi,1987,11,,0,0
Rusizi,1987,12,,0,0
Rusizi,1988,1,,0,0
Rusizi,1988,2,,0,0
Rusizi,1988,3,,0,0
Rusizi,1988,4,,0,0
Rusizi,1988,5,,0,0
Rusizi,1988,6,,0,0
Rusizi,1988,7,,0,0
Rusizi,1988,8,,0,0
Rusizi,1988,9,,0,0
Rusizi,1988,10,,0,0
