river,year,month,ndvi
Buzimba,2000,1,
Buzimba,2000,2,0.7692
Buzimba,2000,3,0.83135
Buzimba,2000,4,0.85535
Buzimba,2000,5,0.78965
Buzimba,2000,6,0.69625
Buzimba,2000,7,0.6876
Buzimba,2000,8,0.6343
Buzimba,2000,9,0.62405
Buzimba,2000,10,0.61625
Buzimba,2000,11,0.7961
Buzimba,2000,12,0.86375
Buzimba,2001,1,0.7242
Buzimba,2001,2,0.51255
Buzimba,2001,3,0.81995
Buzimba,2001,4,0.49575
Buzimba,2001,5,0.8207
Buzimba,2001,6,0.8275
Buzimba,2001,7,0.7577
Buzimba,2001,8,0.67695
Buzimba,2001,9,0.6977
Buzimba,2001,10,0.7425
Buzimba,2001,11,0.71415
Buzimba,2001,12,0.7608
Buzimba,2002,1,0.5038
Buzimba,2002,2,0.58795
Buzimba,2002,3,0.7601
Buzimba,2002,4,0.6922
Buzimba,2002,5,0.81595
Buzimba,2002,6,0.72675
Buzimba,2002,7,0.6742
Buzimba,2002,8,0.6374
Buzimba,2002,9,0.664
Buzimba,2002,10,0.7184
Buzimba,2002,11,0.7872
Buzimba,2002,12,0.7712
Buzimba,2003,1,0.81425
Buzimba,2003,2,0.8299
Buzimba,2003,3,0.8419
Buzimba,2003,4,0.77345
Buzimba,2003,5,0.8509
Buzimba,2003,6,0.7607
Buzimba,2003,7,0.73415
Buzimba,2003,8,0.6785
Buzimba,2003,9,0.65055
Buzimba,2003,10,0.7922
Buzimba,2003,11,0.589
Buzimba,2003,12,0.7633
Buzimba,2004,1,0.85035
Buzimba,2004,2,0.8171
Buzimba,2004,3,0.6894
Buzimba,2004,4,0.6378
Buzimba,2004,5,0.8241
Buzimba,2004,6,0.775
Buzimba,2004,7,0.66275
Buzimba,2004,8,0.62455
Buzimba,2004,9,0.63835
Buzimba,2004,10,0.56915
Buzimba,2004,11,0.7981
Buzimba,2004,12,0.6608
Buzimba,2005,1,0.8112
Buzimba,2005,2,0.82185
Buzimba,2005,3,0.5887
Buzimba,2005,4,0.7621
Buzimba,2005,5,0.83875
Buzimba,2005,6,0.79785
Buzimba,2005,7,0.6769
Buzimba,2005,8,0.67965
Buzimba,2005,9,0.6635
Buzimba,2005,10,0.6622
Buzimba,2005,11,0.73325
Buzimba,2005,12,0.77915
Buzimba,2006,1,0.837
Buzimba,2006,2,0.78335
Buzimba,2006,3,0.6153
Buzimba,2006,4,0.8273
Buzimba,2006,5,0.7984
Buzimba,2006,6,0.79025
Buzimba,2006,7,0.72595
Buzimba,2006,8,0.66425
Buzimba,2006,9,0.6683
Buzimba,2006,10,0.6692
Buzimba,2006,11,0.27265
Buzimba,2006,12,0.67425
Buzimba,2007,1,0.84555
Buzimba,2007,2,0.81795
Buzimba,2007,3,0.84305
Buzimba,2007,4,0.62465
Buzimba,2007,5,0.8361
Buzimba,2007,6,0.80245
Buzimba,2007,7,0.72555
Buzimba,2007,8,0.7134
Buzimba,2007,9,0.64625
Buzimba,2007,10,0.744
Buzimba,2007,11,0.34355
Buzimba,2007,12,0.5014
Buzimba,2008,1,0.765
Buzimba,2008,2,0.8102
Buzimba,2008,3,0.68105
Buzimba,2008,4,0.8482
Buzimba,2008,5,0.8203
Buzimba,2008,6,0.78685
Buzimba,2008,7,0.6771
Buzimba,2008,8,0.64815
Buzimba,2008,9,0.6476
Buzimba,2008,10,0.83825
Buzimba,2008,11,0.7717
Buzimba,2008,12,0.5408
Buzimba,2009,1,0.80135
Buzimba,2009,2,0.68765
Buzimba,2009,3,0.56145
Buzimba,2009,4,0.86155
Buzimba,2009,5,0.8387
Buzimba,2009,6,0.79005
Buzimba,2009,7,0.67775
Buzimba,2009,8,0.64915
Buzimba,2009,9,0.66005
Buzimba,2009,10,0.7451
Buzimba,2009,11,0.44555
Buzimba,2009,12,0.6797
Buzimba,2010,1,0.7711
Buzimba,2010,2,0.70645
Buzimba,2010,3,0.8052
Buzimba,2010,4,0.6885
Buzimba,2010,5,0.7766
Buzimba,2010,6,0.7616
Buzimba,2010,7,0.72755
Buzimba,2010,8,0.6012
Buzimba,2010,9,0.6692
Buzimba,2010,10,0.6289
Buzimba,2010,11,0.40795
Buzimba,2010,12,0.78925
Buzimba,2011,1,0.8038
