river,year,month,ndvi
Jiji,2000,1,
Jiji,2000,2,0.5816
Jiji,2000,3,0.5886
Jiji,2000,4,0.54475
Jiji,2000,5,0.4969
Jiji,2000,6,0.42895
Jiji,2000,7,0.33295
Jiji,2000,8,0.30845
Jiji,2000,9,0.29845
Jiji,2000,10,0.34885
Jiji,2000,11,0.539
Jiji,2000,12,0.35675
Jiji,2001,1,0.557
Jiji,2001,2,0.57565
Jiji,2001,3,0.62065
Jiji,2001,4,0.59745
Jiji,2001,5,0.45505
Jiji,2001,6,0.5136
Jiji,2001,7,0.43845
Jiji,2001,8,0.36705
Jiji,2001,9,0.45155
Jiji,2001,10,0.4796
Jiji,2001,11,0.52125
Jiji,2001,12,0.6146
Jiji,2002,1,0.4502
Jiji,2002,2,0.60605
Jiji,2002,3,0.4633
Jiji,2002,4,0.48675
Jiji,2002,5,0.5621
Jiji,2002,6,0.49185
Jiji,2002,7,0.37385
Jiji,2002,8,0.32225
Jiji,2002,9,0.32145
Jiji,2002,10,0.3498
Jiji,2002,11,0.3103
Jiji,2002,12,0.68985
Jiji,2003,1,0.58635
Jiji,2003,2,0.59925
Jiji,2003,3,0.52135
Jiji,2003,4,0.6888
Jiji,2003,5,0.58315
Jiji,2003,6,0.44075
Jiji,2003,7,0.38365
Jiji,2003,8,0.3555
Jiji,2003,9,0.35555
Jiji,2003,10,0.4087
Jiji,2003,11,0.33595
Jiji,2003,12,0.4132
Jiji,2004,1,0.6062
Jiji,2004,2,0.5975
Jiji,2004,3,0.58595
Jiji,2004,4,0.5114
Jiji,2004,5,0.5783
Jiji,2004,6,0.4291
Jiji,2004,7,0.3845
Jiji,2004,8,0.3371
Jiji,2004,9,0.3605
Jiji,2004,10,0.42655
Jiji,2004,11,0.4298
Jiji,2004,12,0.43615
Jiji,2005,1,0.71245
Jiji,2005,2,0.5544
Jiji,2005,3,0.5408
Jiji,2005,4,0.49035
Jiji,2005,5,0.64265
Jiji,2005,6,0.46195
Jiji,2005,7,0.37175
Jiji,2005,8,0.36715
Jiji,2005,9,0.30925
Jiji,2005,10,0.3172
Jiji,2005,11,0.45255
Jiji,2005,12,0.56345
Jiji,2006,1,0.4183
Jiji,2006,2,0.5781
Jiji,2006,3,0.57635
Jiji,2006,4,0.60395
Jiji,2006,5,0.58315
Jiji,2006,6,0.49715
Jiji,2006,7,0.43055
Jiji,2006,8,0.3656
Jiji,2006,9,0.34975
Jiji,2006,10,0.3875
Jiji,2006,11,0.17125
Jiji,2006,12,0.3404
Jiji,2007,1,0.636
Jiji,2007,2,0.616
Jiji,2007,3,0.6049
Jiji,2007,4,0.6091
Jiji,2007,5,0.57885
Jiji,2007,6,0.51385
Jiji,2007,7,0.38655
Jiji,2007,8,0.4075
Jiji,2007,9,0.41335
Jiji,2007,10,0.46
Jiji,2007,11,0.20595
Jiji,2007,12,0.4479
Jiji,2008,1,0.6347
Jiji,2008,2,0.5555
Jiji,2008,3,0.4678
Jiji,2008,4,0.5086
Jiji,2008,5,0.52505
Jiji,2008,6,0.50385
Jiji,2008,7,0.397
Jiji,2008,8,0.36835
Jiji,2008,9,0.42255
Jiji,2008,10,0.3157
Jiji,2008,11,0.355
Jiji,2008,12,0.41335
Jiji,2009,1,0.6375
Jiji,2009,2,0.4412
Jiji,2009,3,0.5817
Jiji,2009,4,0.60805
Jiji,2009,5,0.6525
Jiji,2009,6,0.5311
Jiji,2009,7,0.40995
Jiji,2009,8,0.36885
Jiji,2009,9,0.36595
Jiji,2009,10,0.2545
Jiji,2009,11,0.49595
Jiji,2009,12,0.53985
Jiji,2010,1,0.6426
Jiji,2010,2,0.42715
Jiji,2010,3,0.46595
Jiji,2010,4,0.42455
Jiji,2010,5,0.4962
Jiji,2010,6,0.47525
Jiji,2010,7,0.42155
Jiji,2010,8,0.332
Jiji,2010,9,0.35555
Jiji,2010,10,0.4954
Jiji,2010,11,0.50105
Jiji,2010,12,0.56045
Jiji,2011,1,0.3619
Jiji,2011,2,0.5757
Jiji,2011,3,0.49335
Jiji,2011,4,0.54515
Jiji,2011,5,0.59815
Jiji,2011,6,0.5358
Jiji,2011,7,0.39875
Jiji,2011,8,0.3806
Jiji,2011,9,0.2454
Jiji,2011,10,0.413
Jiji,2011,11,0.556
Jiji,2011,12,0.59395
Jiji,2012,1,0.6126
Jiji,2012,2,0.41855
Jiji,2012,3,0.4758
Jiji,2012,4,0.58095
Jiji,2012,5,0.4641
Jiji,2012,6,0.53485
Jiji,2012,7,0.46415
Jiji,2012,8,0.3909
Jiji,2012,9,0.409
Jiji,2012,10,0.4333
Jiji,2012,11,0.1332
Jiji,2012,12,0.2667
Jiji,2013,1,0.4352
Jiji,2013,2,0.559
Jiji,2013,3,0.59955
Jiji,2013,4,0.6669
Jiji,2013,5,0.6211
Jiji,2013,6,0.5112
Jiji,2013,7,0.4385
Jiji,2013,8,0.4121
Jiji,2013,9,0.43115
Jiji,2013,10,0.3941
Jiji,2013,11,0.46705
Jiji,2013,12,0.3912
Jiji,2014,1,0.44815
Jiji,2014,2,0.596
Jiji,2014,3,0.57475
Jiji,2014,4,0.4596
Jiji,2014,5,0.5574
Jiji,2014,6,0.5234
Jiji,2014,7,0.43885
Jiji,2014,8,0.37595
Jiji,2014,9,0.3868
Jiji,2014,10,0.5435
Jiji,2014,11,0.5587
Jiji,2014,12,0.58455
Jiji,2015,1,0.3326
Jiji,2015,2,0.5658
Jiji,2015,3,0.5955
Jiji,2015,4,0.43395
Jiji,2015,5,0.567
Jiji,2015,6,0.4936
Jiji,2015,7,0.43235
Jiji,2015,8,0.38605
Jiji,2015,9,0.37895
Jiji,2015,10,0.231
Jiji,2015,11,0.61745
Jiji,2015,12,0.55065
Jiji,2016,1,0.6422
Jiji,2016,2,0.5605
Jiji,2016,3,0.61835
Jiji,2016,4,0.47515
Jiji,2016,5,0.6699
Jiji,2016,6,0.49435
Jiji,2016,7,0.4155
Jiji,2016,8,0.39865
Jiji,2016,9,0.3776
Jiji,2016,10,0.32295
Jiji,2016,11,0.329
Jiji,2016,12,0.55335
Jiji,2017,1,0.5791
Jiji,2017,2,0.4928
Jiji,2017,3,0.5786
Jiji,2017,4,0.7056
Jiji,2017,5,0.5744
Jiji,2017,6,0.46895
Jiji,2017,7,0.45595
Jiji,2017,8,0.40285
Jiji,2017,9,0.4528
Jiji,2017,10,0.4867
Jiji,2017,11,0.60475
Jiji,2017,12,0.5059
Jiji,2018,1,0.6058
Jiji,2018,2,0.43975
Jiji,2018,3,0.6424
Jiji,2018,4,0.66575
Jiji,2018,5,0.65745
Jiji,2018,6,0.48
Jiji,2018,7,0.455
Jiji,2018,8,0.4177
Jiji,2018,9,0.37435
Jiji,2018,10,0.4298
Jiji,2018,11,0.4751
Jiji,2018,12,0.5152
Jiji,2019,1,0.58005
Jiji,2019,2,0.60615
Jiji,2019,3,0.6435
Jiji,2019,4,0.65585
Jiji,2019,5,0.5648
Jiji,2019,6,0.59755
Jiji,2019,7,0.51025
Jiji,2019,8,0.4094
Jiji,2019,9,0.483
Jiji,2019,10,0.3173
Jiji,2019,11,0.26885
Jiji,2019,12,0.3198
Jiji,2020,1,0.5908
Jiji,2020,2,0.5989
Jiji,2020,3,0.5433
Jiji,2020,4,0.2108
Jiji,2020,5,0.35345
Jiji,2020,6,0.5834
Jiji,2020,7,0.49405
Jiji,2020,8,0.4226
Jiji,2020,9,0.44075
Jiji,2020,10,0.23325
Jiji,2020,11,0.5576
Jiji,2020,12,0.6435
Jiji,2021,1,0.6706
Jiji,2021,2,0.6424
Jiji,2021,3,0.55665
Jiji,2021,4,0.3307
Jiji,2021,5,0.6045
Jiji,2021,6,0.53355
Jiji,2021,7,0.44955
Jiji,2021,8,0.42475
Jiji,2021,9,0.40545
Jiji,2021,10,0.2364
Jiji,2021,11,0.43255
Jiji,2021,12,0.5033
Jiji,2022,1,0.6422
Jiji,2022,2,0.61575
Jiji,2022,3,0.4527
Jiji,2022,4,0.52205
Jiji,2022,5,0.5358
Jiji,2022,6,0.5193
Jiji,2022,7,0.3989
Jiji,2022,8,0.4047
Jiji,2022,9,0.36685
Jiji,2022,10,0.3176
Jiji,2022,11,0.19615
Jiji,2022,12,0.44675
Jiji,2023,1,0.5313
Jiji,2023,2,0.56145
Jiji,2023,3,0.46345
Jiji,2023,4,0.6724
Jiji,2023,5,0.62415
Jiji,2023,6,0.5296
Jiji,2023,7,0.4272
Jiji,2023,8,0.37095
Jiji,2023,9,0.4962
Jiji,2023,10,0.4903
Jiji,2023,11,0.36705
Jiji,2023,12,0.1654
Jiji,2024,1,0.40895
