river,year,month,ndvi
Kaburantwa,2000,1,
Kaburantwa,2000,2,0.6323
Kaburantwa,2000,3,0.7038
Kaburantwa,2000,4,0.67085
Kaburantwa,2000,5,0.572
Kaburantwa,2000,6,0.45025
Kaburantwa,2000,7,0.3947
Kaburantwa,2000,8,0.3468
Kaburantwa,2000,9,0.37865
Kaburantwa,2000,10,0.5535
Kaburantwa,2000,11,0.7055
Kaburantwa,2000,12,0.7368
Kaburantwa,2001,1,0.7105
Kaburantwa,2001,2,0.7103
Kaburantwa,2001,3,0.67285
Kaburantwa,2001,4,0.68225
Kaburantwa,2001,5,0.6638
Kaburantwa,2001,6,0.62815
Kaburantwa,2001,7,0.5482
Kaburantwa,2001,8,0.48
Kaburantwa,2001,9,0.58425
Kaburantwa,2001,10,0.6224
Kaburantwa,2001,11,0.6424
Kaburantwa,2001,12,0.699
Kaburantwa,2002,1,0.68195
Kaburantwa,2002,2,0.6699
Kaburantwa,2002,3,0.7024
Kaburantwa,2002,4,0.6495
Kaburantwa,2002,5,0.6812
Kaburantwa,2002,6,0.5695
Kaburantwa,2002,7,0.44935
Kaburantwa,2002,8,0.42805
Kaburantwa,2002,9,0.41525
Kaburantwa,2002,10,0.4203
Kaburantwa,2002,11,0.62135
Kaburantwa,2002,12,0.73555
Kaburantwa,2003,1,0.7539
Kaburantwa,2003,2,0.69995
Kaburantwa,2003,3,0.7065
Kaburantwa,2003,4,0.6915
Kaburantwa,2003,5,0.67115
Kaburantwa,2003,6,0.54735
Kaburantwa,2003,7,0.4332
Kaburantwa,2003,8,0.4299
Kaburantwa,2003,9,0.35645
Kaburantwa,2003,10,0.522
Kaburantwa,2003,11,0.63695
Kaburantwa,2003,12,0.69705
Kaburantwa,2004,1,0.67895
Kaburantwa,2004,2,0.6447
Kaburantwa,2004,3,0.67225
Kaburantwa,2004,4,0.6966
Kaburantwa,2004,5,0.65925
Kaburantwa,2004,6,0.4973
Kaburantwa,2004,7,0.4009
Kaburantwa,2004,8,0.39375
Kaburantwa,2004,9,0.38075
Kaburantwa,2004,10,0.5388
Kaburantwa,2004,11,0.7134
Kaburantwa,2004,12,0.51765
Kaburantwa,2005,1,0.6837
Kaburantwa,2005,2,0.65875
Kaburantwa,2005,3,0.6702
Kaburantwa,2005,4,0.71535
Kaburantwa,2005,5,0.69965
Kaburantwa,2005,6,0.64945
Kaburantwa,2005,7,0.51495
Kaburantwa,2005,8,0.43215
Kaburantwa,2005,9,0.42575
Kaburantwa,2005,10,0.4577
Kaburantwa,2005,11,0.58855
Kaburantwa,2005,12,0.61225
Kaburantwa,2006,1,0.6251
Kaburantwa,2006,2,0.648
Kaburantwa,2006,3,0.66195
Kaburantwa,2006,4,0.64635
Kaburantwa,2006,5,0.678
Kaburantwa,2006,6,0.59865
Kaburantwa,2006,7,0.5454
Kaburantwa,2006,8,0.4707
Kaburantwa,2006,9,0.475
Kaburantwa,2006,10,0.3947
Kaburantwa,2006,11,0.6098
Kaburantwa,2006,12,0.6669
Kaburantwa,2007,1,0.6882
