river,year,month,ndvi
Mpanda,2000,1,
Mpanda,2000,2,0.7665
Mpanda,2000,3,0.23965
Mpanda,2000,4,0.48005
Mpanda,2000,5,0.6482
Mpanda,2000,6,0.60105
Mpanda,2000,7,0.5521
Mpanda,2000,8,0.77945
Mpanda,2000,9,0.53295
Mpanda,2000,10,0.7695
Mpanda,2000,11,0.4121
Mpanda,2000,12,0.27225
Mpanda,2001,1,0.38345
Mpanda,2001,2,0.64365
Mpanda,2001,3,0.49735
Mpanda,2001,4,0.83845
Mpanda,2001,5,0.1196
Mpanda,2001,6,0.33915
Mpanda,2001,7,0.8245
Mpanda,2001,8,0.82145
Mpanda,2001,9,0.7968
Mpanda,2001,10,0.4447
Mpanda,2001,11,0.5996
Mpanda,2001,12,0.82505
Mpanda,2002,1,0.5894
Mpanda,2002,2,0.4273
Mpanda,2002,3,0.29875
Mpanda,2002,4,0.1194
Mpanda,2002,5,0.857
Mpanda,2002,6,0.64155
Mpanda,2002,7,0.7765
Mpanda,2002,8,0.6628
Mpanda,2002,9,0.63355
Mpanda,2002,10,0.1334
Mpanda,2002,11,0.3415
Mpanda,2002,12,0.24355
Mpanda,2003,1,0.4922
Mpanda,2003,2,0.80735
Mpanda,2003,3,0.8044
Mpanda,2003,4,0.4782
Mpanda,2003,5,0.5093
Mpanda,2003,6,0.82585
Mpanda,2003,7,0.8067
Mpanda,2003,8,0.76415
Mpanda,2003,9,0.60225
Mpanda,2003,10,0.2347
Mpanda,2003,11,0.44505
Mpanda,2003,12,0.4009
Mpanda,2004,1,0.4884
Mpanda,2004,2,0.69815
Mpanda,2004,3,0.67745
Mpanda,2004,4,0.37285
Mpanda,2004,5,0.82725
Mpanda,2004,6,0.80665
Mpanda,2004,7,0.7757
Mpanda,2004,8,0.77285
Mpanda,2004,9,0.80375
Mpanda,2004,10,0.64305
Mpanda,2004,11,0.6353
Mpanda,2004,12,0.6189
Mpanda,2005,1,0.66895
Mpanda,2005,2,0.78535
Mpanda,2005,3,0.81215
Mpanda,2005,4,0.77175
Mpanda,2005,5,0.71025
Mpanda,2005,6,0.7544
Mpanda,2005,7,0.82175
Mpanda,2005,8,0.77165
Mpanda,2005,9,0.74165
Mpanda,2005,10,0.1568
Mpanda,2005,11,0.56835
Mpanda,2005,12,0.79335
Mpanda,2006,1,0.64035
Mpanda,2006,2,0.8021
Mpanda,2006,3,0.4178
Mpanda,2006,4,0.37675
Mpanda,2006,5,0.5278
Mpanda,2006,6,0.8328
Mpanda,2006,7,0.78675
Mpanda,2006,8,0.78065
Mpanda,2006,9,0.67055
Mpanda,2006,10,0.2475
Mpanda,2006,11,0.304
Mpanda,2006,12,0.50075
Mpanda,2007,1,0.76315
Mpanda,2007,2,0.83455
Mpanda,2007,3,0.53325
Mpanda,2007,4,0.664
Mpanda,2007,5,0.41175
Mpanda,2007,6,0.8286
Mpanda,2007,7,0.80625
Mpanda,2007,8,0.8393
Mpanda,2007,9,0.6975
Mpanda,2007,10,0.5184
Mpanda,2007,11,0.22865
Mpanda,2007,12,0.79655
Mpanda,2008,1,0.7542
Mpanda,2008,2,0.55405
Mpanda,2008,3,0.6263
Mpanda,2008,4,0.1879
Mpanda,2008,5,0.23225
Mpanda,2008,6,0.6591
Mpanda,2008,7,0.69085
Mpanda,2008,8,0.8022
Mpanda,2008,9,0.60745
Mpanda,2008,10,0.5908
Mpanda,2008,11,0.8337
Mpanda,2008,12,0.65315
Mpanda,2009,1,0.81775
Mpanda,2009,2,0.775
Mpanda,2009,3,0.84575
Mpanda,2009,4,0.1993
Mpanda,2009,5,0.6985
Mpanda,2009,6,0.8238
Mpanda,2009,7,0.8136
Mpanda,2009,8,0.78135
Mpanda,2009,9,0.77525
Mpanda,2009,10,0.1125
Mpanda,2009,11,0.5086
Mpanda,2009,12,0.49555
Mpanda,2010,1,0.71035
Mpanda,2010,2,0.36465
Mpanda,2010,3,0.48765
Mpanda,2010,4,0.5305
Mpanda,2010,5,0.71635
Mpanda,2010,6,0.82705
Mpanda,2010,7,0.81415
Mpanda,2010,8,0.784
Mpanda,2010,9,0.7962
Mpanda,2010,10,0.679
Mpanda,2010,11,0.4662
Mpanda,2010,12,0.83865
Mpanda,2011,1,0.45175
Mpanda,2011,2,0.6032
Mpanda,2011,3,0.80845
Mpanda,2011,4,0.54655
Mpanda,2011,5,0.50005
Mpanda,2011,6,0.78815
Mpanda,2011,7,0.7952
Mpanda,2011,8,0.7942
Mpanda,2011,9,0.38245
Mpanda,2011,10,0.6037
Mpanda,2011,11,0.27595
Mpanda,2011,12,0.6202
Mpanda,2012,1,0.722
Mpanda,2012,2,0.69815
Mpanda,2012,3,0.46685
Mpanda,2012,4,0.1574
Mpanda,2012,5,0.576
Mpanda,2012,6,0.82905
Mpanda,2012,7,0.8204
Mpanda,2012,8,0.608
Mpanda,2012,9,0.49455
Mpanda,2012,10,0.6204
Mpanda,2012,11,0.1858
Mpanda,2012,12,0.4115
Mpanda,2013,1,0.65895
Mpanda,2013,2,0.73345
Mpanda,2013,3,0.53815
Mpanda,2013,4,0.36725
Mpanda,2013,5,0.6698
Mpanda,2013,6,0.8005
Mpanda,2013,7,0.81175
Mpanda,2013,8,0.7668
Mpanda,2013,9,0.61925
Mpanda,2013,10,0.7903
Mpanda,2013,11,0.3331
Mpanda,2013,12,0.1312
Mpanda,2014,1,0.46965
Mpanda,2014,2,0.4921
Mpanda,2014,3,0.58465
Mpanda,2014,4,0.56815
Mpanda,2014,5,0.62855
Mpanda,2014,6,0.7794
Mpanda,2014,7,0.5016
Mpanda,2014,8,0.71735
Mpanda,2014,9,0.6141
Mpanda,2014,10,0.5628
Mpanda,2014,11,0.6367
Mpanda,2014,12,0.68825
Mpanda,2015,1,0.6371
Mpanda,2015,2,0.6673
Mpanda,2015,3,0.797
Mpanda,2015,4,0.23315
Mpanda,2015,5,0.8549
Mpanda,2015,6,0.82535
Mpanda,2015,7,0.81945
Mpanda,2015,8,0.83715
Mpanda,2015,9,0.78005
Mpanda,2015,10,0.3852
Mpanda,2015,11,0.4819
Mpanda,2015,12,0.4187
Mpanda,2016,1,0.53705
Mpanda,2016,2,0.23935
Mpanda,2016,3,0.55155
Mpanda,2016,4,0.5799
Mpanda,2016,5,0.4854
Mpanda,2016,6,0.71495
Mpanda,2016,7,0.78985
Mpanda,2016,8,0.6931
Mpanda,2016,9,0.7724
Mpanda,2016,10,0.5044
Mpanda,2016,11,0.1713
Mpanda,2016,12,0.4463
Mpanda,2017,1,0.72375
Mpanda,2017,2,0.7321
Mpanda,2017,3,0.38555
Mpanda,2017,4,0.25835
Mpanda,2017,5,0.822
Mpanda,2017,6,0.6446
Mpanda,2017,7,0.8278
Mpanda,2017,8,0.5679
