river,year,month,ndvi
Mulembwe,2000,1,
Mulembwe,2000,2,0.7692
Mulembwe,2000,3,0.83135
Mulembwe,2000,4,0.85535
Mulembwe,2000,5,0.78965
Mulembwe,2000,6,0.69625
Mulembwe,2000,7,0.6876
Mulembwe,2000,8,0.6343
Mulembwe,2000,9,0.62405
Mulembwe,2000,10,0.61625
Mulembwe,2000,11,0.7961
Mulembwe,2000,12,0.86375
Mulembwe,2001,1,0.7242
Mulembwe,2001,2,0.51255
Mulembwe,2001,3,0.81995
Mulembwe,2001,4,0.49575
Mulembwe,2001,5,0.8207
Mulembwe,2001,6,0.8275
Mulembwe,2001,7,0.7577
Mulembwe,2001,8,0.67695
Mulembwe,2001,9,0.6977
Mulembwe,2001,10,0.7425
Mulembwe,2001,11,0.71415
Mulembwe,2001,12,0.7608
Mulembwe,2002,1,0.5038
Mulembwe,2002,2,0.58795
Mulembwe,2002,3,0.7601
Mulembwe,2002,4,0.6922
Mulembwe,2002,5,0.81595
Mulembwe,2002,6,0.72675
Mulembwe,2002,7,0.6742
Mulembwe,2002,8,0.6374
Mulembwe,2002,9,0.664
Mulembwe,2002,10,0.7184
Mulembwe,2002,11,0.7872
Mulembwe,2002,12,0.7712
Mulembwe,2003,1,0.81425
Mulembwe,2003,2,0.8299
Mulembwe,2003,3,0.8419
Mulembwe,2003,4,0.77345
Mulembwe,2003,5,0.8509
Mulembwe,2003,6,0.7607
Mulembwe,2003,7,0.73415
Mulembwe,2003,8,0.6785
Mulembwe,2003,9,0.65055
Mulembwe,2003,10,0.7922
Mulembwe,2003,11,0.589
Mulembwe,2003,12,0.7633
Mulembwe,2004,1,0.85035
Mulembwe,2004,2,0.8171
Mulembwe,2004,3,0.6894
Mulembwe,2004,4,0.6378
Mulembwe,2004,5,0.8241
Mulembwe,2004,6,0.775
Mulembwe,2004,7,0.66275
Mulembwe,2004,8,0.62455
Mulembwe,2004,9,0.63835
Mulembwe,2004,10,0.56915
Mulembwe,2004,11,0.7981
Mulembwe,2004,12,0.6608
Mulembwe,2005,1,0.8112
Mulembwe,2005,2,0.82185
Mulembwe,2005,3,0.5887
Mulembwe,2005,4,0.7621
Mulembwe,2005,5,0.83875
Mulembwe,2005,6,0.79785
Mulembwe,2005,7,0.6769
Mulembwe,2005,8,0.67965
Mulembwe,2005,9,0.6635
Mulembwe,2005,10,0.6622
Mulembwe,2005,11,0.73325
Mulembwe,2005,12,0.77915
Mulembwe,2006,1,0.837
Mulembwe,2006,2,0.78335
Mulembwe,2006,3,0.6153
Mulembwe,2006,4,0.8273
Mulembwe,2006,5,0.7984
Mulembwe,2006,6,0.79025
Mulembwe,2006,7,0.72595
Mulembwe,2006,8,0.66425
Mulembwe,2006,9,0.6683
Mulembwe,2006,10,0.6692
Mulembwe,2006,11,0.27265
Mulembwe,2006,12,0.67425
Mulembwe,2007,1,0.84555
Mulembwe,2007,2,0.81795
Mulembwe,2007,3,0.84305
Mulembwe,2007,4,0.62465
Mulembwe,2007,5,0.8361
Mulembwe,2007,6,0.80245
Mulembwe,2007,7,0.72555
Mulembwe,2007,8,0.7134
Mulembwe,2007,9,0.64625
Mulembwe,2007,10,0.744
Mulembwe,2007,11,0.34355
Mulembwe,2007,12,0.5014
Mulembwe,2008,1,0.765
Mulembwe,2008,2,0.8102
Mulembwe,2008,3,0.68105
Mulembwe,2008,4,0.8482
Mulembwe,2008,5,0.8203
Mulembwe,2008,6,0.78685
Mulembwe,2008,7,0.6771
Mulembwe,2008,8,0.64815
Mulembwe,2008,9,0.6476
Mulembwe,2008,10,0.83825
Mulembwe,2008,11,0.7717
Mulembwe,2008,12,0.5408
Mulembwe,2009,1,0.80135
Mulembwe,2009,2,0.68765
Mulembwe,2009,3,0.56145
Mulembwe,2009,4,0.86155
Mulembwe,2009,5,0.8387
Mulembwe,2009,6,0.79005
Mulembwe,2009,7,0.67775
Mulembwe,2009,8,0.64915
Mulembwe,2009,9,0.66005
Mulembwe,2009,10,0.7451
Mulembwe,2009,11,0.44555
Mulembwe,2009,12,0.6797
Mulembwe,2010,1,0.7711
Mulembwe,2010,2,0.70645
Mulembwe,2010,3,0.8052
Mulembwe,2010,4,0.6885
Mulembwe,2010,5,0.7766
Mulembwe,2010,6,0.7616
Mulembwe,2010,7,0.72755
Mulembwe,2010,8,0.6012
Mulembwe,2010,9,0.6692
Mulembwe,2010,10,0.6289
Mulembwe,2010,11,0.40795
Mulembwe,2010,12,0.78925
Mulembwe,2011,1,0.8038
Mulembwe,2011,2,0.7928
Mulembwe,2011,3,0.83045
Mulembwe,2011,4,0.54935
Mulembwe,2011,5,0.6285
Mulembwe,2011,6,0.7732
Mulembwe,2011,7,0.7041
Mulembwe,2011,8,0.6195
Mulembwe,2011,9,0.69485
Mulembwe,2011,10,0.7339
Mulembwe,2011,11,0.5344
Mulembwe,2011,12,0.61525
Mulembwe,2012,1,0.7493
Mulembwe,2012,2,0.7792
Mulembwe,2012,3,0.50275
Mulembwe,2012,4,0.79745
Mulembwe,2012,5,0.7831
Mulembwe,2012,6,0.76895
Mulembwe,2012,7,0.67075
Mulembwe,2012,8,0.68995
Mulembwe,2012,9,0.7345
Mulembwe,2012,10,0.5502
Mulembwe,2012,11,0.1319
Mulembwe,2012,12,0.82875
Mulembwe,2013,1,0.80145
Mulembwe,2013,2,0.7947
Mulembwe,2013,3,0.736
Mulembwe,2013,4,0.74645
Mulembwe,2013,5,0.8024
Mulembwe,2013,6,0.7504
Mulembwe,2013,7,0.64525
Mulembwe,2013,8,0.6359
Mulembwe,2013,9,0.6821
Mulembwe,2013,10,0.7443
Mulembwe,2013,11,0.7917
Mulembwe,2013,12,0.5163
Mulembwe,2014,1,0.855
Mulembwe,2014,2,0.78905
Mulembwe,2014,3,0.8059
Mulembwe,2014,4,0.7402
Mulembwe,2014,5,0.73405
Mulembwe,2014,6,0.73395
Mulembwe,2014,7,0.67425
Mulembwe,2014,8,0.7037
Mulembwe,2014,9,0.70655
Mulembwe,2014,10,0.7493
Mulembwe,2014,11,0.5708
Mulembwe,2014,12,0.7381
Mulembwe,2015,1,0.6626
Mulembwe,2015,2,0.76425
Mulembwe,2015,3,0.76285
Mulembwe,2015,4,0.65495
Mulembwe,2015,5,0.82355
Mulembwe,2015,6,0.7957
Mulembwe,2015,7,0.68055
Mulembwe,2015,8,0.6482
Mulembwe,2015,9,0.6455
Mulembwe,2015,10,0.7664
Mulembwe,2015,11,0.6262
Mulembwe,2015,12,0.7781
Mulembwe,2016,1,0.7069
Mulembwe,2016,2,0.65965
Mulembwe,2016,3,0.67075
Mulembwe,2016,4,0.86865
Mulembwe,2016,5,0.85705
Mulembwe,2016,6,0.78415
Mulembwe,2016,7,0.7019
Mulembwe,2016,8,0.6575
Mulembwe,2016,9,0.7268
Mulembwe,2016,10,0.70505
Mulembwe,2016,11,0.7562
Mulembwe,2016,12,0.4908
Mulembwe,2017,1,0.71105
Mulembwe,2017,2,0.81505
Mulembwe,2017,3,0.7203
Mulembwe,2017,4,0.7004
Mulembwe,2017,5,0.7055
Mulembwe,2017,6,0.7384
Mulembwe,2017,7,0.698
Mulembwe,2017,8,0.6583
Mulembwe,2017,9,0.6641
Mulembwe,2017,10,0.7003
Mulembwe,2017,11,0.322
Mulembwe,2017,12,0.7051
Mulembwe,2018,1,0.76685
Mulembwe,2018,2,0.53895
Mulembwe,2018,3,0.5776
Mulembwe,2018,4,0.69295
Mulembwe,2018,5,0.82125
Mulembwe,2018,6,0.7362
Mulembwe,2018,7,0.7213
Mulembwe,2018,8,0.6433
Mulembwe,2018,9,0.57695
