river,year,month,ndvi
Mutimbuzi,2000,1,
Mutimbuzi,2000,2,0.6521
Mutimbuzi,2000,3,0.73865
Mutimbuzi,2000,4,0.69165
Mutimbuzi,2000,5,0.57695
Mutimbuzi,2000,6,0.42425
Mutimbuzi,2000,7,0.43435
Mutimbuzi,2000,8,0.36725
Mutimbuzi,2000,9,0.35985
Mutimbuzi,2000,10,0.55685
Mutimbuzi,2000,11,0.8056
Mutimbuzi,2000,12,0.8246
Mutimbuzi,2001,1,0.78315
Mutimbuzi,2001,2,0.81875
Mutimbuzi,2001,3,0.723
Mutimbuzi,2001,4,0.7971
Mutimbuzi,2001,5,0.60815
Mutimbuzi,2001,6,0.63795
Mutimbuzi,2001,7,0.5203
Mutimbuzi,2001,8,0.50575
Mutimbuzi,2001,9,0.61185
Mutimbuzi,2001,10,0.6987
Mutimbuzi,2001,11,0.73495
Mutimbuzi,2001,12,0.76725
Mutimbuzi,2002,1,0.75725
Mutimbuzi,2002,2,0.7773
Mutimbuzi,2002,3,0.7681
Mutimbuzi,2002,4,0.7734
Mutimbuzi,2002,5,0.76705
Mutimbuzi,2002,6,0.64945
Mutimbuzi,2002,7,0.4627
Mutimbuzi,2002,8,0.461
Mutimbuzi,2002,9,0.4836
Mutimbuzi,2002,10,0.5845
Mutimbuzi,2002,11,0.70965
Mutimbuzi,2002,12,0.75885
Mutimbuzi,2003,1,0.77975
Mutimbuzi,2003,2,0.7228
Mutimbuzi,2003,3,0.7345
Mutimbuzi,2003,4,0.66745
Mutimbuzi,2003,5,0.65435
Mutimbuzi,2003,6,0.58695
Mutimbuzi,2003,7,0.51175
Mutimbuzi,2003,8,0.44045
Mutimbuzi,2003,9,0.46905
Mutimbuzi,2003,10,0.4375
Mutimbuzi,2003,11,0.6486
Mutimbuzi,2003,12,0.6762
Mutimbuzi,2004,1,0.67955
Mutimbuzi,2004,2,0.71805
Mutimbuzi,2004,3,0.7521
Mutimbuzi,2004,4,0.7712
Mutimbuzi,2004,5,0.70785
Mutimbuzi,2004,6,0.49105
Mutimbuzi,2004,7,0.45005
Mutimbuzi,2004,8,0.4489
Mutimbuzi,2004,9,0.52905
Mutimbuzi,2004,10,0.58015
Mutimbuzi,2004,11,0.615
Mutimbuzi,2004,12,0.6816
