river,year,month,ndvi
Nyamagana,2000,1,
Nyamagana,2000,2,0.6323
Nyamagana,2000,3,0.7038
Nyamagana,2000,4,0.67085
Nyamagana,2000,5,0.572
Nyamagana,2000,6,0.45025
Nyamagana,2000,7,0.3947
Nyamagana,2000,8,0.3468
Nyamagana,2000,9,0.37865
Nyamagana,2000,10,0.5535
Nyamagana,2000,11,0.7055
Nyamagana,2000,12,0.7368
Nyamagana,2001,1,0.7105
Nyamagana,2001,2,0.7103
Nyamagana,2001,3,0.67285
Nyamagana,2001,4,0.68225
Nyamagana,2001,5,0.6638
Nyamagana,2001,6,0.62815
Nyamagana,2001,7,0.5482
Nyamagana,2001,8,0.48
Nyamagana,2001,9,0.58425
Nyamagana,2001,10,0.6224
Nyamagana,2001,11,0.6424
Nyamagana,2001,12,0.699
Nyamagana,2002,1,0.68195
Nyamagana,2002,2,0.6699
Nyamagana,2002,3,0.7024
Nyamagana,2002,4,0.6495
Nyamagana,2002,5,0.6812
Nyamagana,2002,6,0.5695
Nyamagana,2002,7,0.44935
Nyamagana,2002,8,0.42805
Nyamagana,2002,9,0.41525
Nyamagana,2002,10,0.4203
Nyamagana,2002,11,0.62135
Nyamagana,2002,12,0.73555
Nyamagana,2003,1,0.7539
Nyamagana,2003,2,0.69995
Nyamagana,2003,3,0.7065
Nyamagana,2003,4,0.6915
Nyamagana,2003,5,0.67115
Nyamagana,2003,6,0.54735
Nyamagana,2003,7,0.4332
Nyamagana,2003,8,0.4299
Nyamagana,2003,9,0.35645
Nyamagana,2003,10,0.522
Nyamagana,2003,11,0.63695
Nyamagana,2003,12,0.69705
Nyamagana,2004,1,0.67895
Nyamagana,2004,2,0.6447
Nyamagana,2004,3,0.67225
Nyamagana,2004,4,0.6966
Nyamagana,2004,5,0.65925
Nyamagana,2004,6,0.4973
Nyamagana,2004,7,0.4009
Nyamagana,2004,8,0.39375
Nyamagana,2004,9,0.38075
Nyamagana,2004,10,0.5388
Nyamagana,2004,11,0.7134
Nyamagana,2004,12,0.51765
Nyamagana,2005,1,0.6837
Nyamagana,2005,2,0.65875
Nyamagana,2005,3,0.6702
Nyamagana,2005,4,0.71535
Nyamagana,2005,5,0.69965
Nyamagana,2005,6,0.64945
Nyamagana,2005,7,0.51495
Nyamagana,2005,8,0.43215
Nyamagana,2005,9,0.42575
Nyamagana,2005,10,0.4577
Nyamagana,2005,11,0.58855
Nyamagana,2005,12,0.61225
Nyamagana,2006,1,0.6251
Nyamagana,2006,2,0.648
Nyamagana,2006,3,0.66195
Nyamagana,2006,4,0.64635
Nyamagana,2006,5,0.678
Nyamagana,2006,6,0.59865
Nyamagana,2006,7,0.5454
Nyamagana,2006,8,0.4707
Nyamagana,2006,9,0.475
Nyamagana,2006,10,0.3947
Nyamagana,2006,11,0.6098
Nyamagana,2006,12,0.6669
Nyamagana,2007,1,0.6882
Nyamagana,2007,2,0.6785
Nyamagana,2007,3,0.65155
Nyamagana,2007,4,0.65165
Nyamagana,2007,5,0.6489
Nyamagana,2007,6,0.63215
Nyamagana,2007,7,0.52685
Nyamagana,2007,8,0.4527
Nyamagana,2007,9,0.4798
Nyamagana,2007,10,0.5217
Nyamagana,2007,11,0.57745
Nyamagana,2007,12,0.64915
