date,river,raw_water_level
2000-01-01,Rusizi,
2000-02-01,Rusizi,
2000-03-01,Rusizi,
2000-04-01,Rusizi,
2000-05-01,Rusizi,
2000-06-01,Rusizi,
2000-07-01,Rusizi,
2000-08-01,Rusizi,
2000-09-01,Rusizi,
2000-10-01,Rusizi,
2000-11-01,Rusizi,
2000-12-01,Rusizi,
2001-01-01,Rusizi,
2001-02-01,Rusizi,
2001-03-01,Rusizi,
2001-04-01,Rusizi,
2001-05-01,Rusizi,
2001-06-01,Rusizi,
2001-07-01,Rusizi,
2001-08-01,Rusizi,
2001-09-01,Rusizi,
2001-10-01,Rusizi,
2001-11-01,Rusizi,
2001-12-01,Rusizi,
2002-01-01,Rusizi,
2002-02-01,Rusizi,
2002-03-01,Rusizi,
2002-04-01,Rusizi,
2002-05-01,Rusizi,
2002-06-01,Rusizi,
2002-07-01,Rusizi,
2002-08-01,Rusizi,
2002-09-01,Rusizi,
2002-10-01,Rusizi,
2002-11-01,Rusizi,
2002-12-01,Rusizi,
2003-01-01,Rusizi,
2003-02-01,Rusizi,
2003-03-01,Rusizi,
2003-04-01,Rusizi,
2003-05-01,Rusizi,
2003-06-01,Rusizi,
2003-07-01,Rusizi,
2003-08-01,Rusizi,
2003-09-01,Rusizi,
2003-10-01,Rusizi,
2003-11-01,Rusizi,
2003-12-01,Rusizi,
2004-01-01,Rusizi,
2004-02-01,Rusizi,
2004-03-01,Rusizi,
2004-04-01,Rusizi,
2004-05-01,Rusizi,
2004-06-01,Rusizi,
2004-07-01,Rusizi,
2004-08-01,Rusizi,
2004-09-01,Rusizi,
2004-10-01,Rusizi,
2004-11-01,Rusizi,
2004-12-01,Rusizi,
2005-01-01,Rusizi,
2005-02-01,Rusizi,
2005-03-01,Rusizi,
2005-04-01,Rusizi,
2005-05-01,Rusizi,
2005-06-01,Rusizi,
2005-07-01,Rusizi,
2005-08-01,Rusizi,
2005-09-01,Rusizi,
2005-10-01,Rusizi,
2005-11-01,Rusizi,
2005-12-01,Rusizi,
2006-01-01,Rusizi,
2006-02-01,Rusizi,
2006-03-01,Rusizi,
2006-04-01,Rusizi,
2006-05-01,Rusizi,
2006-06-01,Rusizi,
2006-07-01,Rusizi,
2006-08-01,Rusizi,
2006-09-01,Rusizi,
2006-10-01,Rusizi,
2006-11-01,Rusizi,
2006-12-01,Rusizi,
2007-01-01,Rusizi,
2007-02-01,Rusizi,
2007-03-01,Rusizi,
2007-04-01,Rusizi,
2007-05-01,Rusizi,
2007-06-01,Rusizi,
2007-07-01,Rusizi,
2007-08-01,Rusizi,
2007-09-01,Rusizi,
2007-10-01,Rusizi,
2007-11-01,Rusizi,
2007-12-01,Rusizi,
2008-01-01,Rusizi,
2008-02-01,Rusizi,
2008-03-01,Rusizi,
2008-04-01,Rusizi,
2008-05-01,Rusizi,
2008-06-01,Rusizi,
2008-07-01,Rusizi,
2008-08-01,Rusizi,
2008-09-01,Rusizi,
2008-10-01,Rusizi,
2008-11-01,Rusizi,
2008-12-01,Rusizi,1.79
2009-01-01,Rusizi,1.85
2009-02-01,Rusizi,1.97
2009-03-01,Rusizi,1.9
2009-04-01,Rusizi,2.05
2009-05-01,Rusizi,2.06
2009-06-01,Rusizi,1.82
2009-07-01,Rusizi,1.64
2009-08-01,Rusizi,1.46
2009-09-01,Rusizi,1.44
2009-10-01,Rusizi,1.38
2009-11-01,Rusizi,1.79
2009-12-01,Rusizi,1.82
2010-01-01,Rusizi,2.04
2010-02-01,Rusizi,2.05
2010-03-01,Rusizi,2.22
2010-04-01,Rusizi,2.32
2010-05-01,Rusizi,2.33
2010-06-01,Rusizi,2.06
2010-07-01,Rusizi,1.93
2010-08-01,Rusizi,1.85
2010-09-01,Rusizi,1.91
2010-10-01,Rusizi,1.84
2010-11-01,Rusizi,1.86
2010-12-01,Rusizi,1.92
2011-01-01,Rusizi,2.01
2011-02-01,Rusizi,1.99
2011-03-01,Rusizi,2.08
2011-04-01,Rusizi,2.19
2011-05-01,Rusizi,2.08
2011-06-01,Rusizi,1.97
2011-07-01,Rusizi,1.93
2011-08-01,Rusizi,1.77
2011-09-01,Rusizi,1.81
2011-10-01,Rusizi,1.94
2011-11-01,Rusizi,2.07
2011-12-01,Rusizi,2.84
2012-01-01,Rusizi,2.01
2012-02-01,Rusizi,1.99
2012-03-01,Rusizi,2.02
2012-04-01,Rusizi,2.25
2012-05-01,Rusizi,2.41
2012-06-01,Rusizi,2.22
2012-07-01,Rusizi,1.99
2012-08-01,Rusizi,1.93
2012-09-01,Rusizi,2.0
2012-10-01,Rusizi,1.96
2012-11-01,Rusizi,2.01
2012-12-01,Rusizi,2.23
2013-01-01,Rusizi,2.28
2013-02-01,Rusizi,2.25
2013-03-01,Rusizi,2.42
2013-04-01,Rusizi,2.67
2013-05-01,Rusizi,2.48
2013-06-01,Rusizi,2.29
2013-07-01,Rusizi,2.13
2013-08-01,Rusizi,2.02
2013-09-01,Rusizi,2.13
2013-10-01,Rusizi,2.21
2013-11-01,Rusizi,2.23
2013-12-01,Rusizi,2.28
2014-01-01,Rusizi,2.53
2014-02-01,Rusizi,2.45
2014-03-01,Rusizi,2.43
2014-04-01,Rusizi,2.55
2014-05-01,Rusizi,2.34
2014-06-01,Rusizi,2.16
2014-07-01,Rusizi,2.09
2014-08-01,Rusizi,2.0
2014-09-01,Rusizi,2.16
2014-10-01,Rusizi,2.38
2014-11-01,Rusizi,2.18
2014-12-01,Rusizi,2.38
2015-01-01,Rusizi,2.44
2015-02-01,Rusizi,2.26
2015-03-01,Rusizi,2.41
2015-04-01,Rusizi,2.68
2015-05-01,Rusizi,2.58
2015-06-01,Rusizi,2.44
2015-07-01,Rusizi,2.34
2015-08-01,Rusizi,2.2
2015-09-01,Rusizi,2.19
2015-10-01,Rusizi,2.26
2015-11-01,Rusizi,2.42
2015-12-01,Rusizi,2.58
2016-01-01,Rusizi,2.7
2016-02-01,Rusizi,2.69
2016-03-01,Rusizi,2.58
2016-04-01,Rusizi,2.82
2016-05-01,Rusizi,3.02
2016-06-01,Rusizi,2.66
2016-07-01,Rusizi,2.44
2016-08-01,Rusizi,2.38
2016-09-01,Rusizi,2.37
2016-10-01,Rusizi,2.39
2016-11-01,Rusizi,2.39
2016-12-01,Rusizi,2.36
2017-01-01,Rusizi,2.34
2017-02-01,Rusizi,2.55
2017-03-01,Rusizi,2.55
2017-04-01,Rusizi,2.47
2017-05-01,Rusizi,2.37
2017-06-01,Rusizi,2.09
2017-07-01,Rusizi,2.06
2017-08-01,Rusizi,2.03
2017-09-01,Rusizi,2.07
2017-10-01,Rusizi,2.1
2017-11-01,Rusizi,2.3
2017-12-01,Rusizi,2.37
2018-01-01,Rusizi,2.5
2018-02-01,Rusizi,2.52
2018-03-01,Rusizi,2.74
2018-04-01,Rusizi,3.82
2018-05-01,Rusizi,3.78
2018-06-01,Rusizi,3.61
2018-07-01,Rusizi,3.55
2018-08-01,Rusizi,2.93
2018-09-01,Rusizi,2.54
2018-10-01,Rusizi,2.67
2018-11-01,Rusizi,2.93
2018-12-01,Rusizi,2.85
2019-01-01,Rusizi,2.72
2019-02-01,Rusizi,2.72
2019-03-01,Rusizi,2.76
2019-04-01,Rusizi,2.78
2019-05-01,Rusizi,2.84
2019-06-01,Rusizi,2.67
2019-07-01,Rusizi,2.63
2019-08-01,Rusizi,2.61
2019-09-01,Rusizi,2.55
2019-10-01,Rusizi,2.87
2019-11-01,Rusizi,3.02
2019-12-01,Rusizi,3.39
2020-01-01,Rusizi,3.77
2020-02-01,Rusizi,3.92
2020-03-01,Rusizi,3.9
2020-04-01,Rusizi,3.73
2020-05-01,Rusizi,3.72
2020-06-01,Rusizi,3.53
2020-07-01,Rusizi,3.64
2020-08-01,Rusizi,3.49
2020-09-01,Rusizi,3.4
2020-10-01,Rusizi,3.48
2020-11-01,Rusizi,3.71
2020-12-01,Rusizi,3.61
2021-01-01,Rusizi,3.82
2021-02-01,Rusizi,3.77
2021-03-01,Rusizi,3.78
2021-04-01,Rusizi,3.81
2021-05-01,Rusizi,3.9
2021-06-01,Rusizi,3.72
2021-07-01,Rusizi,3.64
2021-08-01,Rusizi,3.65
2021-09-01,Rusizi,3.68
2021-10-01,Rusizi,3.69
2021-11-01,Rusizi,3.6
2021-12-01,Rusizi,3.61
2022-01-01,Rusizi,3.7
2022-02-01,Rusizi,3.79
2022-03-01,Rusizi,3.87
2022-04-01,Rusizi,3.84
2022-05-01,Rusizi,3.86
2022-06-01,Rusizi,3.77
2022-07-01,Rusizi,3.31
2022-08-01,Rusizi,3.48
2022-09-01,Rusizi,3.52
2022-10-01,Rusizi,3.59
2022-11-01,Rusizi,3.67
2022-12-01,Rusizi,3.62
2023-01-01,Rusizi,3.84
2023-02-01,Rusizi,3.67
2023-03-01,Rusizi,3.77
2023-04-01,Rusizi,4.03
2023-05-01,Rusizi,4.17
2023-06-01,Rusizi,3.82
2023-07-01,Rusizi,3.67
2023-08-01,Rusizi,3.53
2023-09-01,Rusizi,3.59
2023-10-01,Rusizi,3.58
2023-11-01,Rusizi,3.79
2023-12-01,Rusizi,3.98
2024-01-01,Rusizi,4.15
2024-02-01,Rusizi,4.18
2024-03-01,Rusizi,4.16
2024-04-01,Rusizi,4.37
2024-05-01,Rusizi,4.45
2024-06-01,Rusizi,4.39
2024-07-01,Rusizi,4.23
2024-08-01,Rusizi,4.23
2024-09-01,Rusizi,4.17
2024-10-01,Rusizi,4.19
2024-11-01,Rusizi,4.28
2024-12-01,Rusizi,4.25
